clone_id	cloned_reference_or_alternative	condensates_HEK293T_r1	localization_HEK293T_r1	condensates_HEK293T_r2	localization_HEK293T_r2	condensates_U2OS_r1	localization_U2OS_r1	condensates_U2OS_r2	localization_U2OS_r2
KLF7-3	Alternative	both nuclear and cytoplasmic condensates	nucleus	both nuclear and cytoplasmic condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
KLF7-4	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
KLF7-5	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
KLF7-6	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
KLF7-7	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
KLF7-8	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
LHX9-1	Reference	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
LHX9-2	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
LHX9-3	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
MAX-1	Reference	no condensates	nucleus	no condensates	nucleus	both nuclear and cytoplasmic condensates	nucleus	both nuclear and cytoplasmic condensates	nucleus
MAX-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
MAX-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
MAX-4	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
MAX-5	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
MAX-6	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
MEIS2-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
MEIS2-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
MEIS2-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
MEOX1-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
MEOX1-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
MEOX1-3	Alternative	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	nucleus	nuclear condensates	nucleus
MLX-1	Reference	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
MLX-3	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
NFIX-1	Reference	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	nuclear condensates	nucleus	nuclear condensates	nucleus
NFIX-2	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
NFIX-3	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
NFIX-4	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
NFYA-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
NFYA-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
NFYA-3	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
NR4A1-3	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm
NR4A1-1	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	nucleus	nuclear condensates	nucleus
NR4A1-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
NR4A1-4	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm
PBX1-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
PBX1-2	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
PKNOX1-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
PKNOX1-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
PKNOX1-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
PKNOX1-4	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
PPARG-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
PPARG-2	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
PPARG-3	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
PPARG-4	Alternative	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	nucleus	nuclear condensates	nucleus
PRRX1-2	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
PRRX1-1	Alternative	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
PRRX1-3	Alternative	no condensates	nucleus	no condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
RARB-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm
RARB-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
RFX3-2	Reference	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
RFX3-3	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
RFX3-4	Alternative	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
RFX4-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
RFX4-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
RFX4-3	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
RORC-3	Reference	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus	no condensates	nucleus
RORC-4	Alternative	both nuclear and cytoplasmic condensates	nucleus	both nuclear and cytoplasmic condensates	nucleus	both nuclear and cytoplasmic condensates	nucleus	both nuclear and cytoplasmic condensates	nucleus
RXRG-1	Reference	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm
RXRG-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	nuclear condensates	nucleus	nuclear condensates	nucleus
STAT3-1	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	cytoplasm	both nuclear and cytoplasmic condensates	cytoplasm
STAT3-2	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
STAT3-3	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
TBPL1-1	Reference	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm	no condensates	both nucleus and cytoplasm
TBPL1-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
TBX5-1	Reference	no condensates	nucleus	no condensates	nucleus	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
TBX5-2	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
TBX5-3	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
TCF12-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
TCF12-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
TCF12-3	Alternative	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
TCF4-1	Reference	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
TCF4-2	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
TCF4-3	Alternative	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus	nuclear condensates	nucleus
TCF4-4	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
TCF4-5	Alternative	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm	nuclear condensates	both nucleus and cytoplasm
TCF4-6	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm
TCF4-7	Alternative	cytoplasmic condensates	both nucleus and cytoplasm	cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
TCF4-8	Alternative	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm	cytoplasmic condensates	cytoplasm
TFAP2A-2	Reference	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm	both nuclear and cytoplasmic condensates	both nucleus and cytoplasm
