clone_id	gene_symbol_tf	gene_symbol_partner	test_orf_ida	test_orf_idb	source	score_pair	score_empty-N1	score_empty-N2	log2 NLR
ZNF451-7	ZNF451	KCTD9	12452	101171	isoform negatives	412.0	137.0	261.0	0.6585945306133338
ZNF451-2	ZNF451	KCTD9	12452	101174	isoform negatives	824.0	151.0	261.0	1.6585945306133338
ZNF451-4	ZNF451	KCTD9	12452	101179	isoform positives	735.0	124.0	261.0	1.4936944431538421
ZNF451-7	ZNF451	GMCL1	4516	101171	isoform negatives	3399.0	137.0	1559.0	1.124489433843887
ZNF451-2	ZNF451	GMCL1	4516	101174	isoform negatives	4903.0	151.0	1559.0	1.6530438335879007
ZNF451-4	ZNF451	GMCL1	4516	101179	isoform positives	4148.0	124.0	1559.0	1.411794966115441
ZNF451-2	ZNF451	IMPDH1	71077	101174	isoform negatives	106981.0	151.0	23600.0	2.1804958296858246
ZNF451-4	ZNF451	IMPDH1	71077	101179	isoform positives	201607.0	124.0	23600.0	3.094686966846224
ZNF451-4	ZNF451	POU1F1	100016074	101179	isoform positives	13791.0	124.0	3324.0	2.052734784767616
ZNF451-4	ZNF451	DDX39B	100009527	101179	isoform positives	19781.0	124.0	9532.0	1.0532645046722584
ZNF451-7	ZNF451	DDX39B	100009527	101171	isoform negatives	16092.0	137.0	9532.0	0.7554927864353591
ZNF451-7	ZNF451	ZBTB48	154	101171	isoform negatives	5013.0	137.0	1353.0	1.889512394805807
ZNF451-7	ZNF451	CBS	359	101171	isoform negatives	45267.0	137.0	16119.0	1.4896974535057341
ZNF451-7	ZNF451	ESRRA	55636	101171	isoform negatives	17575.0	137.0	3832.0	2.19735522311108
ZNF451-7	ZNF451	FAM118B	2747	101171	isoform negatives	3660.0	137.0	1428.0	1.3578476691423051
ZNF451-7	ZNF451	TRAF2	9637	101171	isoform negatives	23573.0	137.0	10968.0	1.103834897534619
ZNF451-7	ZNF451	ZNF250	525	101171	isoform negatives	769.0	137.0	357.0	1.1070595239327268
ZNF451-2	ZNF451	TRIM21	130	101174	isoform negatives	24260.0	151.0	6043.0	2.005242703308201
ESRRG-1	ESRRG	ESRRG	10820	100710	Lit-BM - TF space specific	1217351.0	165.0	6998.0	7.442586821783424
ESRRG-1	ESRRG	ESRRG	10820	100710	isoform positives	1217351.0	165.0	6998.0	7.442586821783424
ZNF451-2	ZNF451	DDX39B	100009527	101174	isoform negatives	18908.0	151.0	9532.0	0.9881459131683787
ESRRG-1	ESRRG	ESRRA	55636	100710	isoform positives	156172.0	165.0	3832.0	5.348894445290834
		CBS	359	11762	RRS - from HuRI	119418.0	144.0	16119.0	2.8891861629337625
ESRRG-1	ESRRG	TSTD2	9770	100710	isoform positives	5178.0	165.0	515.0	3.3297506278295304
ZNF451-2	ZNF451	CBS	359	101174	isoform negatives	104359.0	151.0	16119.0	2.694720875995657
ZNF451-2	ZNF451	POU1F1	100016074	101174	isoform negatives	8461.0	151.0	3324.0	1.3479078024877884
ARNT2-2	ARNT2	ZNF587	54426	101247	isoform negatives	28272.0	151.0	2246.0	3.6539441121510157
IKZF2-1	IKZF2	ZNF587	54426	101070	isoform positives	2857.0	117.0	2246.0	0.3471431085357707
TCF4-3	TCF4	STAMBPL1	120	100565	isoform positives	1147.0	137.0	1332.0	-0.21572869105543707
ARNT2-1	ARNT2	TIMM13	100009397	100093	RRS - TF space specific	1051.0	172.0	343.0	1.6154821877893661
		STAMBPL1	120	9535	Lit-BM-13	213.0	89.0	1332.0	-2.644668746845424
ARNT2-2	ARNT2	SMN1	66	101247	isoform negatives	15157.0	151.0	3406.0	2.153833891386522
ARNT2-1	ARNT2	SMN1	66	100093	isoform positives	18887.0	172.0	3406.0	2.4712432229608887
ARNT2-1	ARNT2	STAMBPL1	120	100093	isoform positives	8419.0	172.0	1332.0	2.6600547992532326
ARNT2-1	ARNT2	EIF3E	6072	100093	isoform positives	1538.0	172.0	357.0	2.1070595239327266
TCF4-7	TCF4	STAMBPL1	120	100178	isoform positives	1820.0	103.0	1332.0	0.45034436801479644
TCF4-8	TCF4	LNPEP	53326	100313	isoform negatives	371.0	124.0	556.0	-0.5836656961027042
TCF4-7	TCF4	LNPEP	53326	100178	isoform negatives	364.0	103.0	556.0	-0.611146432524811
		LNPEP	53326	4163	RRS - from HuRI	2850.0	151.0	556.0	2.357805131215959
TCF4-3	TCF4	LNPEP	53326	100565	isoform positives	247.0	137.0	556.0	-1.1705738411388298
FOSB-3	FOSB	HOMER3	7127	100526	isoform negatives	32711.0	144.0	2266.0	3.8515560981018884
FOSB-3	FOSB	CYTH4	12913	100526	isoform negatives	20447.0	144.0	405.0	5.657823467114796
ZNF438-2	ZNF438	SCNM1	3364	100633	isoform positives	1401.0	124.0	1064.0	0.39695880492962843
ZNF438-1	ZNF438	SCNM1	3364	101259	isoform negatives	227.0	82.0	1064.0	-2.2287339482102744
HMBOX1-3	HMBOX1	SCNM1	3364	100801	isoform negatives	433.0	110.0	1064.0	-1.2970592207744647
MEOX1-3	MEOX1	CIB3	53473	101218	isoform positives	1964.0	158.0	721.0	1.4457237650738706
MEOX1-2	MEOX1	CIB3	53473	100810	isoform negatives	3454.0	137.0	721.0	2.2601969182881017
HMBOX1-3	HMBOX1	TCEANC	856	100801	isoform positives	295.0	110.0	584.0	-0.9852534146308137
TCF4-6	TCF4	LMO2	1136	100247	isoform negatives	797.0	103.0	336.0	1.2461184912117114
MEOX1-3	MEOX1	TMEM9B	11266	101218	isoform negatives	275.0	158.0	185.0	0.5719063478957097
MEOX1-2	MEOX1	TMEM9B	11266	100810	isoform negatives	542.0	137.0	185.0	1.5507675808375594
MEOX1-1	MEOX1	TCEANC	856	100645	isoform positives	22219.0	275.0	584.0	5.249681708165755
MEOX1-1	MEOX1	PELI2	6653	100645	isoform positives	50835.0	275.0	5247.0	3.2762574424497037
TCF4-7	TCF4	LMO2	1136	100178	isoform negatives	776.0	110.0	336.0	1.2075954194083673
ZNF438-1	ZNF438	TXK	100066358	101259	isoform negatives	103.0	82.0	130.0	-0.3358672858452362
ZNF438-2	ZNF438	TXK	100066358	100633	isoform positives	117.0	124.0	130.0	-0.15200309344504995
TCF4-5	TCF4	LMO2	1136	100703	isoform negatives	1229.0	110.0	336.0	1.8709517775939013
MEOX1-3	MEOX1	PELI2	6653	101218	isoform negatives	18407.0	158.0	5247.0	1.8106898181885744
MEOX1-2	MEOX1	PELI2	6653	100810	isoform negatives	24967.0	137.0	5247.0	2.250457784356963
MEOX1-3	MEOX1	TCEANC	856	101218	isoform negatives	1978.0	158.0	584.0	1.7600021518790936
MEOX1-2	MEOX1	TCEANC	856	100810	isoform negatives	27448.0	137.0	584.0	5.554588851677638
TCF4-5	TCF4	BCL2L2	53726	100703	isoform negatives	371.0	110.0	1483.0	-1.9990275058338272
TCF4-6	TCF4	BCL2L2	53726	100247	isoform negatives	268.0	103.0	1483.0	-2.468213691996858
TCF4-8	TCF4	BCL2L2	53726	100313	isoform negatives	556.0	117.0	1483.0	-1.415361809731123
TCF4-7	TCF4	BCL2L2	53726	100178	isoform negatives	584.0	110.0	1483.0	-1.3444783235746132
TCF4-8	TCF4	ATP11B	11179	100313	isoform negatives	96.0	117.0	130.0	-0.43740531230729823
TCF4-6	TCF4	ASAP3	10898	100247	isoform negatives	32766.0	103.0	39363.0	-0.26464061535305156
TCF4-8	TCF4	ASAP3	10898	100313	isoform negatives	85726.0	117.0	39363.0	1.1228926504022056
TCF4-5	TCF4	ASAP3	10898	100703	isoform positives	37081.0	110.0	39363.0	-0.08616002692696405
E2F3-3	E2F3	CENPI	2624	101283	isoform negatives	3138.0	82.0	529.0	2.568505724854072
E2F3-4	E2F3	CENPI	2624	100282	isoform negatives	913.0	103.0	529.0	0.7873471378701963
E2F3-2	E2F3	CENPI	2624	100303	isoform positives	1998.0	89.0	529.0	1.9172169556783927
E2F3-4	E2F3	TFDP3	54134	100282	isoform negatives	5027.0	103.0	5947.0	-0.2424643866808369
PATZ1-3	PATZ1	IQUB	56482	101054	isoform negatives	4093.0	206.0	680.0	2.589552015305383
ZNF143-2	ZNF143	IQUB	56482	101265	isoform negatives	254.0	124.0	680.0	-1.4207062493655358
PATZ1-1	PATZ1	IQUB	56482	100444	isoform negatives	6627.0	192.0	680.0	3.284749267938729
PATZ1-2	PATZ1	IQUB	56482	101008	isoform positives	3166.0	151.0	680.0	2.2190546039994796
ZNF143-3	ZNF143	IQUB	56482	100789	isoform positives	220.0	82.0	680.0	-1.628031222613042
GLI1-3	GLI1	GCC1	7306	100225	isoform positives	2671.0	165.0	1161.0	1.2020120037695434
PATZ1-1	PATZ1	PRKAR1A	2455	100444	Lit-BM - TF space specific	78559.0	192.0	1415.0	5.794902607121519
MEIS2-3	MEIS2	PATZ1	12624	101369	isoform negatives	28897.0	130.0	5439.0	2.409506393305615
ZNF143-2	ZNF143	LMO3	1184	101265	isoform negatives	110.0	124.0	419.0	-1.9294467201746919
GLI1-2	GLI1	AQP1	1231	100670	isoform positives	6881.0	117.0	446.0	3.94750262847788
IKZF2-2	IKZF2	AQP1	1231	101390	isoform negatives	1586.0	96.0	446.0	1.8302771557836737
ZNF143-3	ZNF143	FAM90A1	11110	100789	isoform positives	858.0	82.0	5734.0	-2.7404923517409783
GLI1-2	GLI1	GCC1	7306	100670	isoform positives	3385.0	117.0	1161.0	1.5437878615967926
ZNF143-1	ZNF143	LMO3	1184	100335	isoform positives	82.0	96.0	419.0	-2.353254429081268
NFYA-3	NFYA	NRF1	1011	101334	isoform negatives	10274.0	89.0	9175.0	0.16321791572902183
NFYA-2	NFYA	EAF1	10507	100157	isoform positives	1799.0	103.0	2898.0	-0.6878624083054472
NFYA-2	NFYA	RPL22	12007	100157	isoform positives	742.0	103.0	1078.0	-0.5388660861317022
NFYA-3	NFYA	EAF1	10507	101334	isoform negatives	1181.0	89.0	2898.0	-1.2950486301597721
NFYA-3	NFYA	PRR20A	56508	101334	isoform negatives	1895.0	89.0	4354.0	-1.2001435591297527
MEIS2-3	MEIS2	PITX1	6137	101369	isoform negatives	105425.0	130.0	33721.0	1.6444977963083687
TFEC-2	TFEC	NAPB	10921	101107	isoform negatives	10968.0	124.0	6339.0	0.7909733031231291
HMBOX1-2	HMBOX1	ZNF581	6880	100014	isoform positives	192.0	117.0	488.0	-1.3457748368417302
HMBOX1-2	HMBOX1	SNRPB2	10033	100014	isoform positives	1415.0	117.0	3777.0	-1.416438730720928
HMBOX1-2	HMBOX1	RPL9	4725	100014	isoform positives	192.0	117.0	453.0	-1.238404739325079
HMBOX1-2	HMBOX1	MORF4L2	11965	100014	isoform positives	3035.0	117.0	2548.0	0.2523312388867439
IKZF2-3	IKZF2	EGLN3	52628	101063	isoform negatives	4210.0	130.0	2857.0	0.5593191970173865
IKZF2-1	IKZF2	EGLN3	52628	101070	isoform positives	1648.0	199.0	2857.0	-0.7937847937531535
ZBTB44-6	ZBTB44	MORF4L1	4430	101399	isoform negatives	1696.0	82.0	1387.0	0.2901683822395964
ZBTB44-6	ZBTB44	CDC37	100009829	101399	isoform negatives	31694.0	82.0	50078.0	-0.6599671962915254
HMBOX1-1	HMBOX1	AEBP2	2531	100416	isoform positives	852.0	103.0	906.0	-0.0886576198203968
HMBOX1-3	HMBOX1	MORF4L1	4430	100801	isoform negatives	872.0	82.0	1387.0	-0.6695677475466765
HMBOX1-3	HMBOX1	ZNF581	6880	100801	isoform negatives	137.0	82.0	488.0	-1.8327052546023594
HMBOX1-3	HMBOX1	SNRPB2	10033	100801	isoform negatives	501.0	82.0	3777.0	-2.914358275244964
HMBOX1-3	HMBOX1	RPL9	4725	100801	isoform negatives	130.0	82.0	453.0	-1.8009994270177805
ZBTB44-3	ZBTB44	PSMA6	3741	101276	isoform positives	275.0	76.0	316.0	-0.200492939765081
ZBTB44-4	ZBTB44	PSMA6	3741	101278	isoform positives	254.0	89.0	316.0	-0.3150960614049372
SOX6-1	SOX6	ZNF581	6880	100341	isoform positives	1003.0	124.0	488.0	1.0393685530492944
ZBTB44-4	ZBTB44	MORF4L1	4430	101278	isoform positives	2438.0	89.0	1387.0	0.8137303382966093
IKZF2-3	IKZF2	MORF4L1	4430	101063	isoform positives	2919.0	130.0	1387.0	1.073506423178665
HMBOX1-1	HMBOX1	ZNF581	6880	100416	isoform negatives	192.0	103.0	488.0	-1.3457748368417302
		ZNF581	6880	2183	RRS - from HuRI	233.0	103.0	488.0	-1.066551192908606
IKZF2-1	IKZF2	HMBOX1	14887	101070	isoform positives	275.0	199.0	227.0	0.27673932112110705
IKZF2-3	IKZF2	HMBOX1	14887	101063	isoform negatives	385.0	130.0	227.0	0.7621661482913488
IKZF2-3	IKZF2	CINP	3198	101063	isoform negatives	1614.0	130.0	838.0	0.9456184295784287
STAT3-1	STAT3	PIK3R3	2486	101222	Lit-BM - TF space specific	41562.0	144.0	6716.0	2.6295909442793977
ZBTB44-3	ZBTB44	MCRS1	6901	101276	isoform positives	20591.0	76.0	14855.0	0.47106529084871684
ZBTB44-3	ZBTB44	CDC37	100009829	101276	isoform negatives	45109.0	76.0	50078.0	-0.15076164151288382
ZBTB44-5	ZBTB44	MCRS1	6901	101275	isoform positives	18468.0	124.0	14855.0	0.31407903232658957
ZBTB44-4	ZBTB44	CDC37	100009829	101278	isoform positives	22954.0	89.0	50078.0	-1.125431363658556
ZBTB44-4	ZBTB44	MORF4L2	11965	101278	isoform positives	3564.0	89.0	2548.0	0.48413205926562153
ZBTB44-5	ZBTB44	PIK3R3	2486	101275	isoform positives	4471.0	124.0	6716.0	-0.5870046843943882
TCF4-6	TCF4	TSNAX	6440	100247	isoform negatives	618.0	76.0	913.0	-0.5630080220798475
TCF4-6	TCF4	COA5	11535	100247	isoform negatives	158.0	76.0	433.0	-1.4544424665496218
HMBOX1-3	HMBOX1	LMO1	14023	100801	isoform negatives	2342.0	82.0	9463.0	-2.0145565494799076
NFYA-1	NFYA	NFYC	3427	100048	isoform positives	3488.0	103.0	1978.0	0.8183576140178155
NFYA-1	NFYA	LMO1	14023	100048	isoform positives	4498.0	103.0	9463.0	-1.073013964203306
MEOX1-2	MEOX1	LDLRAP1	9194	100810	isoform negatives	29262.0	185.0	2891.0	3.3393878642799746
TCF4-6	TCF4	DUSP23	3670	100247	isoform negatives	941.0	76.0	2555.0	-1.441056663096447
MEIS2-3	MEIS2	IL16	8787	101369	isoform negatives	65472.0	179.0	6332.0	3.3701448896081474
MEIS2-3	MEIS2	HOXC8	11924	101369	isoform negatives	10219.0	179.0	3166.0	1.690520864882769
TFEC-5	TFEC	IL16	8787	100111	isoform negatives	2719.0	110.0	6332.0	-1.219585104112421
RFX4-2	RFX4	ZIC1	70473	100746	isoform negatives	11826.0	117.0	7121.0	0.731810424430893
RFX4-2	RFX4	CCNK	172	100746	isoform positives	2850.0	117.0	1030.0	1.4683175818688856
RFX4-2	RFX4	HOXA1	10057	100746	isoform positives	4052.0	117.0	5233.0	-0.36900408481357705
TCF4-1	TCF4	HOXC8	11924	100455	isoform positives	3626.0	130.0	3166.0	0.19571766960697695
TCF4-8	TCF4	NOXA1	13577	100313	isoform negatives	5617.0	144.0	3907.0	0.5237385473949374
TCF4-6	TCF4	NOXA1	13577	100247	isoform negatives	1373.0	117.0	3907.0	-1.5087296300365725
TCF4-8	TCF4	SLC39A13	13474	100313	isoform negatives	474.0	144.0	494.0	-0.05962398268641862
TCF4-6	TCF4	SLC39A13	13474	100247	isoform negatives	282.0	117.0	494.0	-0.8088158791858843
TCF4-7	TCF4	SLC39A13	13474	100178	isoform negatives	481.0	103.0	494.0	-0.03847414781463567
TCF4-8	TCF4	HOXA1	10057	100313	isoform positives	4807.0	144.0	5233.0	-0.12250145547681945
MEIS2-1	MEIS2	IL16	8787	100717	isoform positives	88134.0	137.0	6332.0	3.7989655233558826
TCF4-8	TCF4	FAM46B	6636	100313	isoform negatives	6002.0	144.0	2960.0	1.0198461430819763
TCF4-7	TCF4	FAM46B	6636	100178	isoform negatives	6833.0	103.0	2960.0	1.206921950958326
TCF4-7	TCF4	AES	53886	100178	isoform negatives	2369.0	103.0	1023.0	1.2114720534949026
TCF4-7	TCF4	CCNK	172	100178	isoform negatives	2362.0	103.0	1030.0	1.1973646273265766
TCF4-7	TCF4	CDC37	100009829	100178	isoform negatives	100808.0	103.0	24322.0	2.051276362200567
TCF4-8	TCF4	AES	53886	100313	isoform negatives	2857.0	144.0	1023.0	1.4816948911910435
RFX4-1	RFX4	ZIC1	70473	100719	isoform positives	9642.0	96.0	7121.0	0.43725257706250115
RFX4-1	RFX4	AES	53886	100719	isoform positives	3866.0	96.0	1023.0	1.918035492465907
IKZF2-2	IKZF2	AES	53886	101390	isoform negatives	3578.0	117.0	1023.0	1.8063472423065796
TCF4-6	TCF4	AES	53886	100247	isoform negatives	865.0	117.0	1023.0	-0.24203410722124163
TCF4-1	TCF4	IL16	8787	100455	isoform positives	4773.0	130.0	6332.0	-0.4077649190849773
TCF4-1	TCF4	CDC37	100009829	100455	isoform positives	26603.0	130.0	24322.0	0.12932707993114861
ZSCAN18-2	ZSCAN18	ZNF24	3699	100315	isoform negatives	13832.0	247.0	1181.0	3.5499289042451245
		GADD45G	4015	113	Lit-BM-13	24150.0	192.0	405.0	5.89795747083851
ZBTB16-2	ZBTB16	MYLIP	4200	101026	isoform negatives	1888.0	103.0	302.0	2.644238310036762
ZBTB16-2	ZBTB16	HSF2BP	100070143	101026	isoform negatives	16655.0	103.0	1312.0	3.66611572894363
ZBTB16-2	ZBTB16	ZBTB16	8127	101026	isoform positives	64213.0	103.0	536.0	6.904488591375603
		ZBTB16	8127	113	Lit-BM-13	27180.0	192.0	536.0	5.664168645196981
IKZF2-2	IKZF2	ZBTB16	8127	101390	isoform negatives	1360.0	117.0	536.0	1.3433017456799294
TCF4-8	TCF4	FLAD1	9717	100313	isoform negatives	275.0	144.0	172.0	0.677023053709924
PBX1-2	PBX1	PIN1	4406	101061	isoform negatives	3420.0	144.0	742.0	2.204505233152457
TCF12-3	TCF12	MSGN1	100068995	100208	isoform positives	13530.0	103.0	1277.0	3.4053314091611755
TCF4-1	TCF4	MSGN1	100068995	100455	isoform positives	132486.0	130.0	1277.0	6.696937580653717
TCF4-5	TCF4	MSGN1	100068995	100703	isoform positives	256976.0	117.0	1277.0	7.652731291476982
TCF4-5	TCF4	FAM124B	8273	100703	isoform positives	1023.0	117.0	659.0	0.634455774737277
TCF12-1	TCF12	LNX1	8141	100468	isoform positives	2506.0	103.0	5020.0	-1.0023009495162738
FOXP2-7	FOXP2	PIN1	4406	100118	isoform negatives	1772.0	117.0	742.0	1.255887511934215
FOXP2-7	FOXP2	FAM124B	8273	100118	isoform negatives	1243.0	117.0	659.0	0.9154759260444332
FOXP2-7	FOXP2	LNX1	8141	100118	isoform negatives	16998.0	117.0	5020.0	1.7596057382611203
TCF12-3	TCF12	SPG21	3392	100208	isoform negatives	165.0	103.0	515.0	-1.642106407824765
FOXP2-2	FOXP2	FAM124B	8273	101202	isoform negatives	900.0	137.0	659.0	0.44964653620898537
FOXP2-2	FOXP2	EXOSC5	4997	101202	isoform negatives	3337.0	137.0	1710.0	0.9645553614090592
FOXP2-2	FOXP2	CCNC	11984	101202	isoform positives	130.0	137.0	103.0	-0.07566426993207229
FOXP2-4	FOXP2	FAM124B	8273	101422	isoform positives	261.0	124.0	659.0	-1.3362286584381673
TCF12-3	TCF12	PIN1	4406	100208	isoform positives	213.0	103.0	742.0	-1.800565756394965
TCF4-8	TCF4	ZNF148	14722	100313	isoform positives	618.0	124.0	577.0	0.09903551925889217
TCF4-6	TCF4	ZNF148	14722	100247	isoform negatives	391.0	96.0	577.0	-0.5614027113381301
TCF4-6	TCF4	ORC4	2391	100247	isoform negatives	137.0	96.0	240.0	-0.8088585126479919
TCF4-5	TCF4	RABIF	1105	100703	isoform negatives	3434.0	117.0	3928.0	-0.19390489031255895
TCF4-1	TCF4	RABIF	1105	100455	isoform positives	2458.0	130.0	3928.0	-0.6763100139420314
		PID1	11285	14754	Lit-BM-13	282.0	96.0	542.0	-0.9425976889550781
TCF4-6	TCF4	PID1	11285	100247	isoform negatives	336.0	96.0	542.0	-0.6898316185751112
TCF4-6	TCF4	C21orf56	6624	100247	isoform negatives	16524.0	96.0	47968.0	-1.5375093230917392
TCF4-7	TCF4	C21orf56	6624	100178	isoform negatives	64454.0	96.0	47968.0	0.4261976062799547
TCF4-3	TCF4	NXT2	53158	100565	isoform positives	982.0	117.0	1003.0	-0.030526676297487648
		PPM1F	100066558	12621	RRS - from HuRI	312258.0	185.0	39487.0	2.9832888646971827
MEOX1-3	MEOX1	PPM1F	100066558	101218	isoform negatives	201931.0	227.0	39487.0	2.354412737794211
		PPM1F	100066558	1429	RRS - from HuRI	149462.0	144.0	39487.0	1.92032906349116
RBPJ-2	RBPJ	L3MBTL3	10868	100107	isoform negatives	23442.0	96.0	721.0	5.022952591664007
TCF4-6	TCF4	UTP23	5745	100247	isoform negatives	357.0	96.0	1579.0	-2.145015191831137
ZNF438-1	ZNF438	HSD3B7	4278	101259	isoform negatives	199.0	117.0	831.0	-2.0620800462266957
TCF4-8	TCF4	SDCBP	53842	100313	isoform negatives	2218.0	124.0	2575.0	-0.21531306679623305
TP63-2	TP63	PELI1	10650	100044	isoform positives	845.0	96.0	673.0	0.3283448365592296
TP63-2	TP63	SDCBP	53842	100044	isoform negatives	1882.0	96.0	2575.0	-0.45230580422940625
TCF4-3	TCF4	ATP6V1B2	14681	100565	isoform positives	920.0	103.0	1998.0	-1.118850816848043
TCF4-5	TCF4	GORASP2	4973	100703	isoform negatives	769.0	96.0	3591.0	-2.2233301497028317
	BLZF1	GORASP2	4973	101042	Lit-BM - TF space specific	906.0	96.0	3591.0	-1.9868026976184232
TCF4-6	TCF4	KLC3	54463	100247	isoform negatives	4168.0	117.0	3756.0	0.15015821462473358
TCF4-3	TCF4	KLC3	54463	100565	isoform positives	3667.0	103.0	3756.0	-0.03459679694210855
MEOX1-3	MEOX1	ZNF383	100015579	101218	isoform negatives	5714.0	137.0	1593.0	1.8427547694110622
TCF12-2	TCF12	SH2D1B	13003	100553	isoform negatives	282.0	103.0	302.0	-0.09885338692628536
TCF12-2	TCF12	CLCNKA	11895	100553	isoform positives	343.0	103.0	1181.0	-1.783728483224345
MEOX1-2	MEOX1	MLX	3023	100810	isoform negatives	8914.0	144.0	1435.0	2.635022224049604
HMBOX1-3	HMBOX1	FAM161A	53030	100801	isoform negatives	336.0	82.0	1367.0	-2.0244801048273
TCF4-6	TCF4	ZMYND10	9866	100247	isoform negatives	5157.0	117.0	3022.0	0.7710283850343882
IKZF2-2	IKZF2	HAT1	55511	101390	isoform negatives	405.0	89.0	220.0	0.8804183842473274
IKZF2-3	IKZF2	ARHGEF5	6559	101063	isoform negatives	11119.0	110.0	5473.0	1.0226232818067844
TCF4-5	TCF4	TSSK3	9272	100703	isoform positives	1174.0	96.0	817.0	0.5230244249643689
TCF4-6	TCF4	TSSK3	9272	100247	isoform negatives	494.0	117.0	817.0	-0.7258250365610058
ZNF438-1	ZNF438	TSEN15	1425	101259	isoform negatives	137.0	89.0	426.0	-1.6366775372653117
MEIS2-3	MEIS2	GPS2	8584	101369	isoform negatives	14127.0	130.0	2101.0	2.749307061347638
TCF4-5	TCF4	CKS1B	4920	100703	isoform positives	288.0	96.0	515.0	-0.8385036206282683
TCF4-3	TCF4	CKS1B	4920	100565	isoform positives	213.0	103.0	515.0	-1.2737190018447424
SOX6-6	SOX6	ARPC3	14505	100009	isoform positives	1799.0	213.0	522.0	1.7850734746815977
	RXRA	NPAS2	70947	100398	Lit-BM - TF space specific	2438.0	233.0	728.0	1.743687770421516
	RXRA	THRA	3411	100398	Lit-BM - TF space specific	176437.0	233.0	12018.0	3.8758844031695983
	RXRA	RNF8	4755	100398	Lit-BM - TF space specific	2328.0	233.0	549.0	2.0842130039030855
	RXRA	PPARD	4144	100398	Lit-BM - TF space specific	73022.0	233.0	5755.0	3.665443349826996
	RXRA	TBP	52997	100398	Lit-BM - TF space specific	2726.0	233.0	728.0	1.9047752066065133
TCF4-6	TCF4	ZNF643	7225	100247	isoform positives	151.0	151.0	247.0	-0.7099624922595987
TCF4-6	TCF4	MSC	4929	100247	isoform positives	25984.0	151.0	1154.0	4.4929084085396935
TCF4-7	TCF4	MSC	4929	100178	isoform positives	139152.0	172.0	1154.0	6.9138746101370705
WT1-2	WT1	NUDT22	5057	101469	isoform positives	6888.0	137.0	1531.0	2.169610859897056
TCF4-1	TCF4	HAND2	52891	100455	isoform positives	27681.0	158.0	494.0	5.808241210483531
HMG20A-2	HMG20A	DTNB	2991	101158	isoform positives	131859.0	144.0	1147.0	6.8449868437398
TCF4-1	TCF4	NEK6	3567	100455	isoform positives	7561.0	158.0	6984.0	0.11452349553626517
TCF4-6	TCF4	NEK6	3567	100247	isoform positives	5851.0	151.0	6984.0	-0.25537034081017046
TCF4-7	TCF4	NEK6	3567	100178	isoform positives	13626.0	172.0	6984.0	0.964236647798604
TCF4-8	TCF4	NEUROG3	54175	100313	isoform positives	73456.0	158.0	2452.0	4.904849453021584
TEAD3-2	TEAD3	TRIM3	70353	100021	isoform positives	389300.0	199.0	10404.0	5.225672135179017
SOX6-5	SOX6	LHX8	14087	100091	isoform positives	13585.0	110.0	694.0	4.290935092531076
