gene_symbol	Ensembl_gene_ID	family	reference_isoform	alternative_isoform	DBD_pct_lost_in_alt	PDI_category	PPI_category	M1H_activation_category	localization_category	alt_iso_classification	detailed_alt_iso_classification
PBX1	ENSG00000185630	Homeodomain	PBX1-1	PBX1-2	0.0	NA	PPI rewire	activation loss	no localization change	negative regulator	negative regulator (activ)
NR5A2	ENSG00000116833	Nuclear receptor	NR5A2-2	NR5A2-3	0.0	NA	NA	similar	NA	NA	NA
NR5A2	ENSG00000116833	Nuclear receptor	NR5A2-2	NR5A2-1	0.0	NA	NA	rewire	NA	NA	NA
NR5A2	ENSG00000116833	Nuclear receptor	NR5A2-2	NR5A2-4	0.0	NA	NA	activation loss	NA	NA	NA
NR5A2	ENSG00000116833	Nuclear receptor	NR5A2-2	NR5A2-5	0.0	NA	NA	similar	NA	NA	NA
GMEB1	ENSG00000162419	SAND	GMEB1-1	GMEB1-2	55.84415584415584	PDI loss	PPI loss: all	similar	NA	negative regulator	negative regulator (PDIs,PPIs,DBD loss)
PRDM16	ENSG00000142611	C2H2 ZF	PRDM16-1	PRDM16-2	0.0	NA	NA	NA	NA	NA	NA
RORC	ENSG00000143365	Nuclear receptor	RORC-3	RORC-4	0.0	PDI rewire	NA	similar	no localization change	rewirer	rewirer
RORC	ENSG00000143365	Nuclear receptor	RORC-3	RORC-2	0.0	NA	NA	NA	NA	NA	NA
ZNF124	ENSG00000196418	C2H2 ZF	ZNF124-1	ZNF124-2	17.803030303030305	NA	NA	similar	NA	NA	NA
ZNF124	ENSG00000196418	C2H2 ZF	ZNF124-1	ZNF124-4	99.24242424242424	NA	NA	activation GoF	NA	NA	NA
ZNF124	ENSG00000196418	C2H2 ZF	ZNF124-1	ZNF124-3	29.924242424242426	NA	NA	similar	NA	NA	NA
ELK4	ENSG00000158711	Ets	ELK4-1	ELK4-2	0.0	NA	NA	similar	NA	NA	NA
TBX15	ENSG00000092607	T-box	TBX15-1	TBX15-2	0.0	NA	NA	NA	NA	NA	NA
RXRG	ENSG00000143171	Nuclear receptor	RXRG-1	RXRG-2	0.0	PDI rewire	NA	similar	no localization change	rewirer	rewirer
ESRRG	ENSG00000196482	Nuclear receptor	ESRRG-1	ESRRG-2	0.0	NA	PPI rewire	rewire	NA	rewirer	rewirer
ZNF692	ENSG00000171163	C2H2 ZF	ZNF692-1	ZNF692-2	0.0	NA	NA	similar	NA	NA	NA
ZNF692	ENSG00000171163	C2H2 ZF	ZNF692-1	ZNF692-3	60.41666666666666	NA	NA	NA	NA	NA	NA
MEIS1	ENSG00000143995	Homeodomain	MEIS1-1	MEIS1-2	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
CREB1	ENSG00000118260	bZIP	CREB1-2	CREB1-1	0.0	PDI loss	NA	similar	no localization change	negative regulator	negative regulator (PDIs)
DLX1	ENSG00000144355	Homeodomain	DLX1-1	DLX1-2	100.0	PDI loss	NA	activation GoF	localization loss	negative regulator	negative regulator (PDIs,DBD loss, loc loss)
NPAS2	ENSG00000170485	bHLH	NPAS2-1	NPAS2-2	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
PAX8	ENSG00000125618	Paired box	PAX8-2	PAX8-1	0.0	NA	NA	NA	NA	NA	NA
PAX8	ENSG00000125618	Paired box	PAX8-2	PAX8-3	0.0	NA	NA	NA	NA	NA	NA
PAX8	ENSG00000125618	Paired box	PAX8-2	PAX8-4	0.0	PDI gain	NA	NA	NA	rewirer	rewirer
PAX8	ENSG00000125618	Paired box	PAX8-2	PAX8-5	52.8	NA	NA	NA	NA	NA	NA
E2F6	ENSG00000169016	E2F	E2F6-1	E2F6-2	18.461538461538463	NA	PPI loss: all	rewire	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
ATF2	ENSG00000115966	bZIP	ATF2-1	ATF2-2	0.0	NA	no PPI change (all PPIs)	activation GoF	no localization change	rewirer	rewirer
ATF2	ENSG00000115966	bZIP	ATF2-1	ATF2-3	28.08988764044944	NA	PPI loss: signalling	similar	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
ATF2	ENSG00000115966	bZIP	ATF2-1	ATF2-5	71.91011235955057	NA	PPI loss: dimer	activation GoF	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
ATF2	ENSG00000115966	bZIP	ATF2-1	ATF2-4	16.853932584269664	NA	PPI loss: signalling	similar	localization loss	negative regulator	negative regulator (PPIs,DBD loss, loc loss)
ATF2	ENSG00000115966	bZIP	ATF2-1	ATF2-6	68.53932584269663	NA	PPI loss: dimer	similar	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
STAT1	ENSG00000115415	STAT	STAT1-1	STAT1-2	0.0	PDI gain	NA	NA	NA	rewirer	rewirer
STAT1	ENSG00000115415	STAT	STAT1-1	STAT1-5	100.0	PDI gain	NA	NA	NA	negative regulator	negative regulator (DBD loss)
NFE2L2	ENSG00000116044	bZIP	NFE2L2-1	NFE2L2-2	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
NFE2L2	ENSG00000116044	bZIP	NFE2L2-1	NFE2L2-3	100.0	NA	PPI loss: all	NA	NA	NA	NA
IKZF2	ENSG00000030419	C2H2 ZF	IKZF2-2	IKZF2-4	100.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs,DBD loss)
IKZF2	ENSG00000030419	C2H2 ZF	IKZF2-2	IKZF2-1	0.0	NA	PPI rewire	similar	NA	rewirer	rewirer
IKZF2	ENSG00000030419	C2H2 ZF	IKZF2-2	IKZF2-3	0.0	NA	PPI rewire	similar	NA	rewirer	rewirer
ZNF513	ENSG00000163795	C2H2 ZF	ZNF513-1	ZNF513-2	0.0	NA	NA	similar	NA	NA	NA
THAP4	ENSG00000176946	THAP finger	THAP4-1	THAP4-4	100.0	NA	NA	activation loss	NA	NA	NA
KLF7	ENSG00000118263	C2H2 ZF	KLF7-1	KLF7-3	0.0	no PDI change	NA	rewire	no localization change	rewirer	rewirer
KLF7	ENSG00000118263	C2H2 ZF	KLF7-1	KLF7-5	90.21739130434784	PDI loss	NA	similar	localization loss	negative regulator	negative regulator (PDIs,DBD loss, loc loss)
KLF7	ENSG00000118263	C2H2 ZF	KLF7-1	KLF7-6	39.130434782608695	NA	NA	rewire	no localization change	NA	NA
KLF7	ENSG00000118263	C2H2 ZF	KLF7-1	KLF7-4	0.0	PDI loss	NA	activation loss	no localization change	negative regulator	negative regulator (activ,PDIs)
KLF7	ENSG00000118263	C2H2 ZF	KLF7-1	KLF7-7	100.0	PDI loss	NA	activation loss	no localization change	negative regulator	negative regulator (activ,PDIs,DBD loss)
KLF7	ENSG00000118263	C2H2 ZF	KLF7-1	KLF7-8	39.130434782608695	PDI loss	NA	NA	no localization change	NA	NA
NR4A2	ENSG00000153234	Nuclear receptor	NR4A2-1	NR4A2-2	0.0	NA	PPI loss: dimer	similar	NA	negative regulator	negative regulator (PPIs)
PPARG	ENSG00000132170	Nuclear receptor	PPARG-1	PPARG-2	0.0	no PDI change	no PPI change (important PPIs)	similar	no localization change	similar to ref.	similar to ref.
PPARG	ENSG00000132170	Nuclear receptor	PPARG-1	PPARG-4	0.0	PDI rewire	PPI loss: all	activation loss	no localization change	negative regulator	negative regulator (activ,PPIs)
PPARG	ENSG00000132170	Nuclear receptor	PPARG-1	PPARG-3	0.0	PDI loss	PPI loss: all	activation loss	no localization change	likely non-functional	likely nf
TP63	ENSG00000073282	p53	TP63-1	TP63-2	0.0	NA	PPI rewire	NA	no localization change	NA	NA
TP63	ENSG00000073282	p53	TP63-1	TP63-3	0.0	NA	PPI rewire	NA	no localization change	NA	NA
MITF	ENSG00000187098	bHLH	MITF-2	MITF-3	100.0	NA	NA	activation loss	NA	NA	NA
RARB	ENSG00000077092	Nuclear receptor	RARB-1	RARB-2	48.57142857142857	NA	no PPI change (all PPIs)	rewire	no localization change	negative regulator	negative regulator (DBD loss)
ZNF662	ENSG00000182983	C2H2 ZF	ZNF662-2	ZNF662-5	100.0	NA	NA	repression GoF	NA	NA	NA
ZNF662	ENSG00000182983	C2H2 ZF	ZNF662-2	ZNF662-1	0.0	NA	NA	similar	NA	NA	NA
ZNF662	ENSG00000182983	C2H2 ZF	ZNF662-2	ZNF662-3	0.0	NA	NA	similar	NA	NA	NA
ZNF662	ENSG00000182983	C2H2 ZF	ZNF662-2	ZNF662-4	0.0	NA	NA	similar	NA	NA	NA
TFDP2	ENSG00000114126	E2F	TFDP2-1	TFDP2-2	0.0	NA	NA	similar	NA	NA	NA
TFDP2	ENSG00000114126	E2F	TFDP2-1	TFDP2-4	0.0	NA	NA	similar	NA	NA	NA
TFDP2	ENSG00000114126	E2F	TFDP2-1	TFDP2-3	0.0	NA	NA	similar	NA	NA	NA
ZNF148	ENSG00000163848	C2H2 ZF	ZNF148-1	ZNF148-2	21.73913043478261	NA	NA	similar	NA	NA	NA
GATA2	ENSG00000179348	GATA	GATA2-2	GATA2-3	7.142857142857142	NA	NA	NA	NA	NA	NA
THRB	ENSG00000151090	Nuclear receptor	THRB-2	THRB-1	0.0	PDI rewire	NA	rewire	no localization change	rewirer	rewirer
RBPJ	ENSG00000168214	CSL	RBPJ-2	RBPJ-1	0.0	NA	PPI rewire	similar	NA	rewirer	rewirer
RBPJ	ENSG00000168214	CSL	RBPJ-2	RBPJ-3	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
THAP6	ENSG00000174796	THAP finger	THAP6-1	THAP6-2	0.0	NA	NA	similar	no localization change	NA	NA
THAP6	ENSG00000174796	THAP finger	THAP6-1	THAP6-3	43.52941176470589	NA	NA	activation loss	no localization change	NA	NA
THAP6	ENSG00000174796	THAP finger	THAP6-1	THAP6-4	43.52941176470589	NA	NA	activation loss	no localization change	NA	NA
THAP6	ENSG00000174796	THAP finger	THAP6-1	THAP6-5	43.52941176470589	NA	NA	activation loss	no localization change	NA	NA
LEF1	ENSG00000138795	HMG/Sox	LEF1-1	LEF1-3	0.0	NA	NA	NA	NA	NA	NA
LEF1	ENSG00000138795	HMG/Sox	LEF1-1	LEF1-4	0.0	NA	NA	NA	NA	NA	NA
LEF1	ENSG00000138795	HMG/Sox	LEF1-1	LEF1-5	100.0	NA	NA	NA	NA	NA	NA
LEF1	ENSG00000138795	HMG/Sox	LEF1-1	LEF1-2	0.0	NA	NA	NA	NA	NA	NA
PRDM5	ENSG00000138738	C2H2 ZF	PRDM5-1	PRDM5-3	100.0	NA	NA	activation loss	NA	NA	NA
PRDM5	ENSG00000138738	C2H2 ZF	PRDM5-1	PRDM5-2	10.385756676557865	PDI gain	NA	activation loss	NA	negative regulator	negative regulator (activ,DBD loss)
ELF2	ENSG00000109381	Ets	ELF2-2	ELF2-1	0.0	NA	PPI rewire	rewire	NA	rewirer	rewirer
ELF2	ENSG00000109381	Ets	ELF2-2	ELF2-3	0.0	NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ZNF131	ENSG00000172262	C2H2 ZF	ZNF131-2	ZNF131-1	16.447368421052634	NA	NA	NA	NA	NA	NA
ZNF131	ENSG00000172262	C2H2 ZF	ZNF131-2	ZNF131-5	100.0	NA	NA	rewire	NA	NA	NA
ZNF131	ENSG00000172262	C2H2 ZF	ZNF131-2	ZNF131-4	59.210526315789465	NA	NA	rewire	NA	NA	NA
MSX2	ENSG00000120149	Homeodomain	MSX2-1	MSX2-2	100.0	NA	NA	similar	NA	NA	NA
MEF2C	ENSG00000081189	MADS box	MEF2C-1	MEF2C-2	0.0	NA	NA	NA	NA	NA	NA
MXD3	ENSG00000213347	bHLH	MXD3-2	MXD3-1	0.0	NA	NA	NA	NA	NA	NA
MXD3	ENSG00000213347	bHLH	MXD3-2	MXD3-3	0.0	NA	NA	NA	NA	NA	NA
MXD3	ENSG00000213347	bHLH	MXD3-2	MXD3-4	10.0	NA	NA	NA	NA	NA	NA
SOX30	ENSG00000039600	HMG/Sox	SOX30-1	SOX30-2	4.3478260869565215	NA	NA	similar	NA	NA	NA
NKX2-5	ENSG00000183072	Homeodomain	NKX2-5-1	NKX2-5-2	100.0	NA	NA	similar	NA	NA	NA
EBF1	ENSG00000164330	EBF1	EBF1-1	EBF1-3	53.5031847133758	PDI loss	NA	rewire	no localization change	negative regulator	negative regulator (PDIs,DBD loss)
EBF1	ENSG00000164330	EBF1	EBF1-1	EBF1-2	53.5031847133758	PDI loss	NA	rewire	no localization change	negative regulator	negative regulator (PDIs,DBD loss)
HMGA1	ENSG00000137309	AT hook	HMGA1-1	HMGA1-2	0.0	NA	NA	NA	NA	NA	NA
ZKSCAN3	ENSG00000189298	C2H2 ZF	ZKSCAN3-2	ZKSCAN3-1	0.0	NA	NA	similar	NA	NA	NA
ZSCAN26	ENSG00000197062	C2H2 ZF	ZSCAN26-1	ZSCAN26-2	0.0	NA	NA	similar	NA	NA	NA
TBPL1	ENSG00000028839	TBP	TBPL1-1	TBPL1-2	12.12121212121212	NA	NA	activation loss	no localization change	NA	NA
HSF2	ENSG00000025156	HSF	HSF2-1	HSF2-2	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
PPARD	ENSG00000112033	Nuclear receptor	PPARD-1	PPARD-2	0.0	NA	PPI loss: all	repression GoF	NA	negative regulator	negative regulator (PPIs)
PPARD	ENSG00000112033	Nuclear receptor	PPARD-1	PPARD-3	100.0	NA	PPI loss: all	repression GoF	NA	negative regulator	negative regulator (PPIs,DBD loss)
ZSCAN9	ENSG00000137185	C2H2 ZF	ZSCAN9-1	ZSCAN9-2	100.0	NA	PPI loss: cofactor,signalling	similar	localization loss	negative regulator	negative regulator (PPIs,DBD loss, loc loss)
NFYA	ENSG00000001167	CBF/NF-Y	NFYA-1	NFYA-3	0.0	NA	PPI rewire	rewire	no localization change	rewirer	rewirer
NFYA	ENSG00000001167	CBF/NF-Y	NFYA-1	NFYA-2	0.0	NA	PPI rewire	similar	no localization change	rewirer	rewirer
ZNF451	ENSG00000112200	C2H2 ZF	ZNF451-2	ZNF451-8		NA	PPI loss: all	rewire	NA	negative regulator	negative regulator (PPIs)
ZNF451	ENSG00000112200	C2H2 ZF	ZNF451-2	ZNF451-3		NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ZNF451	ENSG00000112200	C2H2 ZF	ZNF451-2	ZNF451-4		NA	PPI rewire	activation loss	NA	negative regulator	negative regulator (activ)
ZNF451	ENSG00000112200	C2H2 ZF	ZNF451-2	ZNF451-5		NA	PPI loss: all	similar	NA	negative regulator	negative regulator (PPIs)
ZNF451	ENSG00000112200	C2H2 ZF	ZNF451-2	ZNF451-6		NA	PPI rewire	similar	NA	rewirer	rewirer
ZNF451	ENSG00000112200	C2H2 ZF	ZNF451-2	ZNF451-7		NA	PPI rewire	rewire	NA	rewirer	rewirer
E2F3	ENSG00000112242	E2F	E2F3-2	E2F3-3	0.0	NA	PPI loss: signalling	activation loss	NA	negative regulator	negative regulator (activ,PPIs)
E2F3	ENSG00000112242	E2F	E2F3-2	E2F3-4	100.0	PDI loss	PPI loss: all	rewire	NA	negative regulator	negative regulator (PDIs,PPIs,DBD loss)
PLAGL1	ENSG00000118495	C2H2 ZF	PLAGL1-1	PLAGL1-2	100.0	NA	NA	rewire	NA	NA	NA
TEAD3	ENSG00000007866	TEA	TEAD3-2	TEAD3-1	15.714285714285714	NA	no PPI change (all PPIs)	similar	NA	negative regulator	negative regulator (DBD loss)
TFAP2A	ENSG00000137203	AP-2	TFAP2A-2	TFAP2A-3	0.0	no PDI change	NA	similar	localization loss	negative regulator	negative regulator (loc loss)
TFAP2A	ENSG00000137203	AP-2	TFAP2A-2	TFAP2A-4	0.0	PDI rewire	NA	similar	no localization change	rewirer	rewirer
TFAP2A	ENSG00000137203	AP-2	TFAP2A-2	TFAP2A-1	0.0	PDI rewire	NA	similar	no localization change	rewirer	rewirer
SPDEF	ENSG00000124664	Ets	SPDEF-2	SPDEF-3	0.0	NA	NA	rewire	NA	NA	NA
SPDEF	ENSG00000124664	Ets	SPDEF-2	SPDEF-1	0.0	NA	NA	similar	NA	NA	NA
TBX18	ENSG00000112837	T-box	TBX18-3	TBX18-2	0.0	NA	NA	similar	NA	NA	NA
ETV7	ENSG00000010030	Ets	ETV7-1	ETV7-2	0.0	NA	NA	similar	NA	NA	NA
DMTF1	ENSG00000135164	Myb/SANT	DMTF1-1	DMTF1-2	0.0	NA	NA	NA	NA	NA	NA
DMTF1	ENSG00000135164	Myb/SANT	DMTF1-1	DMTF1-3	7.142857142857142	NA	NA	NA	NA	NA	NA
DMTF1	ENSG00000135164	Myb/SANT	DMTF1-1	DMTF1-4	100.0	NA	NA	NA	NA	NA	NA
ZSCAN25	ENSG00000197037	C2H2 ZF	ZSCAN25-1	ZSCAN25-2	0.0	NA	NA	NA	NA	NA	NA
CREB5	ENSG00000146592	bZIP	CREB5-1	CREB5-2	0.0	NA	PPI loss: signalling	activation loss	no localization change	negative regulator	negative regulator (activ,PPIs)
ZNF398	ENSG00000197024	C2H2 ZF	ZNF398-1	ZNF398-2	0.0	NA	NA	NA	NA	NA	NA
ZSCAN21	ENSG00000166529	C2H2 ZF	ZSCAN21-1	ZSCAN21-2	100.0	NA	NA	NA	NA	NA	NA
ZNF655	ENSG00000197343	C2H2 ZF	ZNF655-2	ZNF655-1	0.0	NA	NA	similar	NA	NA	NA
ZNF655	ENSG00000197343	C2H2 ZF	ZNF655-2	ZNF655-3	100.0	NA	NA	activation GoF	NA	NA	NA
ZNF655	ENSG00000197343	C2H2 ZF	ZNF655-2	ZNF655-4	100.0	NA	NA	activation GoF	NA	NA	NA
ZNF212	ENSG00000170260	C2H2 ZF	ZNF212-1	ZNF212-2	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
FOXP2	ENSG00000128573	Forkhead	FOXP2-2	FOXP2-1	0.0	NA	PPI rewire	similar	no localization change	rewirer	rewirer
FOXP2	ENSG00000128573	Forkhead	FOXP2-2	FOXP2-4	0.0	NA	PPI rewire	rewire	no localization change	rewirer	rewirer
FOXP2	ENSG00000128573	Forkhead	FOXP2-2	FOXP2-10	100.0	NA	PPI loss: all	rewire	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
FOXP2	ENSG00000128573	Forkhead	FOXP2-2	FOXP2-6	100.0	NA	NA	activation loss	localization loss	NA	NA
FOXP2	ENSG00000128573	Forkhead	FOXP2-2	FOXP2-7	100.0	NA	PPI loss: signalling	NA	localization loss	NA	NA
ZKSCAN1	ENSG00000106261	C2H2 ZF	ZKSCAN1-1	ZKSCAN1-2	0.0	NA	PPI loss: all	repression GoF	NA	negative regulator	negative regulator (PPIs)
IRF5	ENSG00000128604	IRF	IRF5-1	IRF5-4	0.0	NA	NA	NA	NA	NA	NA
IRF5	ENSG00000128604	IRF	IRF5-1	IRF5-2	0.0	NA	NA	rewire	NA	NA	NA
IRF5	ENSG00000128604	IRF	IRF5-1	IRF5-3	0.0	NA	NA	similar	NA	NA	NA
ZNF277	ENSG00000198839	C2H2 ZF; BED ZF	ZNF277-1	ZNF277-3	85.0909090909091	NA	NA	NA	NA	NA	NA
FEZF1	ENSG00000128610	C2H2 ZF	FEZF1-1	FEZF1-2	0.0	NA	NA	NA	NA	NA	NA
HOXA1	ENSG00000105991	Homeodomain	HOXA1-1	HOXA1-2	100.0	NA	PPI loss: all	rewire	no localization change	negative regulator	negative regulator (PPIs,DBD loss)
ZNF394	ENSG00000160908	C2H2 ZF	ZNF394-1	ZNF394-2	100.0	NA	PPI loss: all	NA	NA	negative regulator	negative regulator (PPIs,DBD loss)
TFEC	ENSG00000105967	bHLH	TFEC-1	TFEC-2	0.0	NA	NA	NA	NA	NA	NA
TFEC	ENSG00000105967	bHLH	TFEC-1	TFEC-3	0.0	NA	NA	activation loss	NA	NA	NA
TFEC	ENSG00000105967	bHLH	TFEC-1	TFEC-5	0.0	NA	NA	NA	NA	NA	NA
TFEC	ENSG00000105967	bHLH	TFEC-1	TFEC-4	0.0	NA	NA	rewire	no localization change	NA	NA
TFEC	ENSG00000105967	bHLH	TFEC-1	TFEC-6	3.7037037037037033	NA	NA	rewire	no localization change	NA	NA
DLX5	ENSG00000105880	Homeodomain	DLX5-1	DLX5-2	100.0	PDI loss	NA	similar	NA	negative regulator	negative regulator (PDIs,DBD loss)
PAX4	ENSG00000106331	Homeodomain; Paired box	PAX4-2	PAX4-1	14.285714285714285	PDI gain	NA	NA	NA	NA	NA
ZNF696	ENSG00000185730	C2H2 ZF	ZNF696-1	ZNF696-2	100.0	NA	NA	NA	NA	NA	NA
HMBOX1	ENSG00000147421	Homeodomain	HMBOX1-2	HMBOX1-1	0.0	NA	PPI rewire	similar	no localization change	rewirer	rewirer
HMBOX1	ENSG00000147421	Homeodomain	HMBOX1-2	HMBOX1-3	0.0	NA	PPI loss: cofactor	similar	localization change	negative regulator	negative regulator (PPIs)
HMBOX1	ENSG00000147421	Homeodomain	HMBOX1-2	HMBOX1-4	0.0	NA	PPI loss: all	similar	no localization change	negative regulator	negative regulator (PPIs)
OSR2	ENSG00000164920	C2H2 ZF	OSR2-1	OSR2-2	0.0	NA	NA	similar	NA	NA	NA
MYBL1	ENSG00000185697	Myb/SANT	MYBL1-1	MYBL1-2	0.0	NA	NA	rewire	NA	NA	NA
MYBL1	ENSG00000185697	Myb/SANT	MYBL1-1	MYBL1-3	0.0	NA	NA	rewire	NA	NA	NA
MYBL1	ENSG00000185697	Myb/SANT	MYBL1-1	MYBL1-4	0.0	NA	NA	NA	NA	NA	NA
EBF2	ENSG00000221818	EBF1	EBF2-1	EBF2-2	42.35668789808918	NA	NA	similar	NA	NA	NA
HEY1	ENSG00000164683	bHLH	HEY1-2	HEY1-1	0.0	PDI loss	NA	similar	no localization change	negative regulator	negative regulator (PDIs)
ZNF34	ENSG00000196378	C2H2 ZF	ZNF34-4	ZNF34-1	0.0	NA	NA	similar	NA	NA	NA
ZNF250	ENSG00000196150	C2H2 ZF	ZNF250-1	ZNF250-2	0.0	NA	NA	similar	NA	NA	NA
ZNF169	ENSG00000175787	C2H2 ZF	ZNF169-3	ZNF169-4		NA	NA	repression GoF	NA	NA	NA
ZNF79	ENSG00000196152	C2H2 ZF	ZNF79-1	ZNF79-2	0.0	NA	NA	repression GoF	NA	NA	NA
ZNF483	ENSG00000173258	C2H2 ZF	ZNF483-1	ZNF483-2		NA	NA	similar	NA	NA	NA
ZNF483	ENSG00000173258	C2H2 ZF	ZNF483-1	ZNF483-3		NA	NA	similar	NA	NA	NA
RFX3	ENSG00000080298	RFX	RFX3-2	RFX3-3	0.0	NA	NA	rewire	no localization change	NA	NA
RFX3	ENSG00000080298	RFX	RFX3-2	RFX3-4	0.0	NA	NA	activation loss	no localization change	NA	NA
SOHLH1	ENSG00000165643	bHLH	SOHLH1-2	SOHLH1-4	0.0	NA	NA	NA	NA	NA	NA
SOHLH1	ENSG00000165643	bHLH	SOHLH1-2	SOHLH1-1	0.0	NA	NA	similar	NA	NA	NA
SOHLH1	ENSG00000165643	bHLH	SOHLH1-2	SOHLH1-3	0.0	NA	NA	similar	NA	NA	NA
PAX5	ENSG00000196092	Paired box	PAX5-1	PAX5-2	74.4	NA	PPI loss: all	activation GoF	NA	negative regulator	negative regulator (PPIs,DBD loss)
LHX6	ENSG00000106852	Homeodomain	LHX6-1	LHX6-4	0.0	NA	no PPI change (all PPIs)	similar	NA	similar to ref.	similar to ref.
CREM	ENSG00000095794	bZIP	CREM-1	CREM-3	100.0	NA	NA	activation loss	NA	NA	NA
CREM	ENSG00000095794	bZIP	CREM-1	CREM-2	0.0	NA	NA	activation loss	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-9	0.0	NA	NA	NA	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-4	0.0	NA	NA	NA	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-3	0.0	NA	NA	NA	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-8	0.0	NA	NA	NA	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-11	0.0	NA	NA	NA	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-2	0.0	NA	NA	NA	NA	NA	NA
TCF7L2	ENSG00000148737	HMG/Sox	TCF7L2-1	TCF7L2-12	0.0	NA	NA	NA	NA	NA	NA
HHEX	ENSG00000152804	Homeodomain	HHEX-1	HHEX-2	61.40350877192983	PDI loss	NA	activation loss	NA	negative regulator	negative regulator (activ,PDIs,DBD loss)
GATA3	ENSG00000107485	GATA	GATA3-1	GATA3-2	0.0	NA	NA	NA	NA	NA	NA
