jound_id_alt	alt_iso	joung_id_ref	ref_iso	msigdb_term	gsea_nes	gsea_qval
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Allograft Rejection	1.3594265948751427	0.19578504885253353
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Apical Junction	-1.3593154284200508	0.23257502420135528
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	UV Response Dn	-1.3520863151171625	0.19806389157792836
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	E2F Targets	-1.3381933260188055	0.1863101000322685
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Interferon Gamma Response	-1.31259299395176	0.19999308532706406
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	G2-M Checkpoint	-1.3059513784922456	0.18530977734753146
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Adipogenesis	-1.2980940311967506	0.17322254490695924
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	TGF-beta Signaling	-1.290677021076985	0.16745401742497582
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	IL-2/STAT5 Signaling	-1.2598355229720442	0.20079204435448386
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Hedgehog Signaling	-1.2380564787802308	0.21869554695062923
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	mTORC1 Signaling	-1.2377056757610407	0.20314245290043934
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Glycolysis	-1.231040395846619	0.20063614991010925
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Protein Secretion	-1.196557801772549	0.24507905776056793
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Spermatogenesis	-1.1957627553258185	0.23154344143272024
TFORF1140-HMBOX1	HMBOX1-3	TFORF1141-HMBOX1	HMBOX1-2	Myc Targets V2	-1.1781276600628954	0.2473150731735095
TFORF2696-ELF5	ELF5-1	TFORF3109-ELF5	ELF5-2	G2-M Checkpoint	-1.3962453917182944	0.22666902780237294
TFORF2696-ELF5	ELF5-1	TFORF3109-ELF5	ELF5-2	mTORC1 Signaling	1.346630784901273	0.22573096825150774
TFORF2973-PPARD	PPARD-2	TFORF1965-PPARD	PPARD-1	Mitotic Spindle	1.6339369769349954	0.05712585540017851
TFORF2973-PPARD	PPARD-2	TFORF1965-PPARD	PPARD-1	Apical Surface	-1.600562322861722	0.029286150091519216
TFORF2973-PPARD	PPARD-2	TFORF1965-PPARD	PPARD-1	mTORC1 Signaling	1.5693808462510042	0.06486164831895269
TFORF2973-PPARD	PPARD-2	TFORF1965-PPARD	PPARD-1	heme Metabolism	1.4928274431130657	0.10552414955866311
TFORF2973-PPARD	PPARD-2	TFORF1965-PPARD	PPARD-1	Myc Targets V1	1.3923346647584474	0.23832192799761973
TFORF2973-PPARD	PPARD-2	TFORF1965-PPARD	PPARD-1	Glycolysis	-1.2734180195141984	0.2023591620907057
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	Myc Targets V1	-1.8860769372852004	0.0009491782828008895
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	G2-M Checkpoint	-1.5538479133278902	0.11200303737050497
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	Notch Signaling	-1.53956543577069	0.08637522373488095
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	Angiogenesis	-1.5346181403616488	0.0678662472202636
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	mTORC1 Signaling	-1.4672600646234728	0.11010468080490318
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	Unfolded Protein Response	-1.3836101703256172	0.20707906203106072
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	Androgen Response	-1.3601231931679993	0.21776861745403264
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	E2F Targets	-1.3308535669990464	0.24631176438683086
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	PI3K/AKT/mTOR  Signaling	-1.3205895581510703	0.23718910644657784
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	TGF-beta Signaling	-1.3050731766487793	0.2448879969626295
TFORF1018-ZNF548	ZNF548-2	TFORF1017-ZNF548	ZNF548-1	Mitotic Spindle	-1.29517595323714	0.24212675104902692
TFORF0959-ERF	ERF-2	TFORF3527-ERF	ERF-1	Mitotic Spindle	-1.6302198967492425	0.09818209710823043
TFORF0959-ERF	ERF-2	TFORF3527-ERF	ERF-1	Unfolded Protein Response	-1.5405919128405432	0.14420495512771345
TFORF0959-ERF	ERF-2	TFORF3527-ERF	ERF-1	Adipogenesis	-1.3857051981563269	0.2456597888062182
TFORF0959-ERF	ERF-2	TFORF3527-ERF	ERF-1	Myc Targets V1	-1.378337482870504	0.2263447988691526
TFORF0959-ERF	ERF-2	TFORF3527-ERF	ERF-1	G2-M Checkpoint	-1.36481828039462	0.2281199662499041
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Myc Targets V1	-2.140626291767842	0.0
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Myc Targets V2	-1.8949991227365335	0.0008503826722024912
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	E2F Targets	-1.8111957772653131	0.0022676871258733096
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Oxidative Phosphorylation	-1.8033807630117535	0.0017007653444049823
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	UV Response Dn	1.6469359023899506	0.01599520143956813
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Reactive Oxygen Species Pathway	-1.6171088056906167	0.017347806512930816
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Coagulation	-1.548964847983663	0.03344838510663132
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	TGF-beta Signaling	1.48436105192452	0.07571062014728915
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	G2-M Checkpoint	-1.471288955064329	0.057826021709769394
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	mTORC1 Signaling	-1.4599667416463264	0.05740083037366815
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	UV Response Up	-1.4185884036647138	0.07502264908097533
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	DNA Repair	-1.3854632841353944	0.09167125206342855
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Estrogen Response Late	-1.352496572378642	0.11054974738632385
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	KRAS Signaling Up	1.349890901977216	0.19140924389349864
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Angiogenesis	1.3498489070897928	0.1436902262654537
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Wnt-beta Catenin Signaling	1.3489711285668935	0.11580525842247327
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Complement	-1.2989119566304	0.15958848148333415
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Protein Secretion	-1.2966212372066197	0.15032149082471727
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	KRAS Signaling Dn	1.2890379365955298	0.1665278194319482
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Mitotic Spindle	1.2880106749284024	0.14395681295611315
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	TNF-alpha Signaling via NF-kB	-1.2825847147297404	0.15647041168525838
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Cholesterol Homeostasis	-1.2687150322398228	0.1622530138562353
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Pperoxisome	-1.2484198147972723	0.17783627632434595
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Apoptosis	-1.2335041334208197	0.18878495322895303
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Apical Surface	1.2302715526932757	0.20513845846246126
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Glycolysis	-1.2153563654003199	0.20645401541804922
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Epithelial Mesenchymal Transition	-1.2114893151391466	0.20086933857077788
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Unfolded Protein Response	-1.1963006446315005	0.21251062978340254
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Fatty Acid Metabolism	-1.1913737875044927	0.20976105914328114
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	IL-2/STAT5 Signaling	1.189346145076298	0.24626686068253598
TFORF1009-ZNF544	ZNF544-6	TFORF3176-ZNF544	ZNF544-1	Androgen Response	-1.1813419010042006	0.2174660415368734
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	Myc Targets V1	-1.9771926083822715	0.0
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	Myc Targets V2	-1.93696911459258	0.0
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	Oxidative Phosphorylation	-1.8304300183483337	0.004573306893902853
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	E2F Targets	-1.752813999684657	0.006431212819550887
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	UV Response Dn	1.6001716022267551	0.043648894419450565
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	Wnt-beta Catenin Signaling	1.597797533006311	0.022111610988800615
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	Coagulation	-1.5326606742493476	0.03772978187469854
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	Reactive Oxygen Species Pathway	-1.522589654043457	0.03372813834253354
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	TGF-beta Signaling	1.4529461172272873	0.07217382980760027
TFORF1008-ZNF544	ZNF544-7	TFORF3176-ZNF544	ZNF544-1	UV Response Up	-1.426658636882715	0.08109453117224166
