ad_clone_id	ad_gene_symbol	ad_orf_id	db_gene_symbol	db_orf_id	Y2H_result	db_gene_category	db_gene_cofactor_type
ZIC3-3	ZIC3	100090	GCC1	7306	False	other	
ZIC3-3	ZIC3	100090	HSD3B7	4278		other	
ZIC3-3	ZIC3	100090	MAPK9	10051	False	signaling	
ZIC3-3	ZIC3	100090	NME7	5633		other	
ZIC3-3	ZIC3	100090	PIN1	4406		TF	
ZIC3-3	ZIC3	100090	PITX1	6137	False	TF	
ZIC3-3	ZIC3	100090	PRKAA2	14015	False	signaling	
ZIC3-3	ZIC3	100090	STK36	100009376		cofactor	unknown
ZIC3-3	ZIC3	100090	SUFU	6119	False	cofactor	corepressor
PRDM16-1	PRDM16	100248	ARRB1	4044		cofactor	coactivator
PRDM16-1	PRDM16	100248	CCDC13	2077		other	
PRDM16-1	PRDM16	100248	CFAP206	2362		other	
PRDM16-1	PRDM16	100248	DDX6	12339		other	
PRDM16-1	PRDM16	100248	GLMN	1812		signaling	
PRDM16-1	PRDM16	100248	LONRF1	54086		other	
PRDM16-1	PRDM16	100248	MID2	1074		signaling	
PRDM16-1	PRDM16	100248	MIPOL1	11163		other	
PRDM16-1	PRDM16	100248	NEK6	3567		signaling	
PRDM16-1	PRDM16	100248	PLK4	2057		other	
PRDM16-1	PRDM16	100248	POLR3C	7936		cofactor	unknown
PRDM16-1	PRDM16	100248	RIOK2	935		other	
PRDM16-2	PRDM16	101215	ARRB1	4044		cofactor	coactivator
PRDM16-2	PRDM16	101215	CCDC13	2077		other	
PRDM16-2	PRDM16	101215	CFAP206	2362		other	
PRDM16-2	PRDM16	101215	DDX6	12339		other	
PRDM16-2	PRDM16	101215	GLMN	1812	False	signaling	
PRDM16-2	PRDM16	101215	LONRF1	54086		other	
PRDM16-2	PRDM16	101215	MID2	1074		signaling	
PRDM16-2	PRDM16	101215	MIPOL1	11163		other	
PRDM16-2	PRDM16	101215	NEK6	3567		signaling	
PRDM16-2	PRDM16	101215	PLK4	2057		other	
PRDM16-2	PRDM16	101215	POLR3C	7936		cofactor	unknown
PRDM16-2	PRDM16	101215	RIOK2	935		other	
PRDM16-1	PRDM16	100248	RUNX1T1	4468		cofactor	corepressor
PRDM16-1	PRDM16	100248	TCHP	4259		other	
PRDM16-1	PRDM16	100248	TXLNA	52743		other	
PRDM16-1	PRDM16	100248	XPA	7662		TF	
PRDM16-2	PRDM16	101215	RUNX1T1	4468		cofactor	corepressor
PRDM16-2	PRDM16	101215	TCHP	4259		other	
PRDM16-2	PRDM16	101215	TXLNA	52743		other	
PRDM16-2	PRDM16	101215	XPA	7662		TF	
ZNF263-1	ZNF263	101302	CCDC6	71245		other	
ZNF263-1	ZNF263	101302	CLK2	11851	True	other	
ZNF263-1	ZNF263	101302	CLK3	7447	True	other	
ZNF263-1	ZNF263	101302	CPNE7	8479	False	other	
ZNF263-1	ZNF263	101302	DVL3	9635		cofactor	unknown
ZNF263-1	ZNF263	101302	EFEMP2	2906	True	other	
ZNF263-1	ZNF263	101302	GPATCH2L	13363	True	other	
ZNF263-1	ZNF263	101302	JAKMIP2	7784		other	
ZNF263-1	ZNF263	101302	LNX1	8141	True	other	
ZNF263-1	ZNF263	101302	PPL	56285	True	other	
ZNF263-1	ZNF263	101302	SCAND1	3585	True	cofactor	unknown
ZNF263-1	ZNF263	101302	TRIM41	7881	True	signaling	
ZNF263-3	ZNF263	101156	CCDC6	71245	False	other	
ZNF263-3	ZNF263	101156	CLK2	11851	False	other	
ZNF263-3	ZNF263	101156	CLK3	7447	False	other	
ZNF263-3	ZNF263	101156	CPNE7	8479	False	other	
ZNF263-3	ZNF263	101156	DVL3	9635	False	cofactor	unknown
ZNF263-3	ZNF263	101156	EFEMP2	2906	False	other	
ZNF263-3	ZNF263	101156	GPATCH2L	13363	False	other	
ZNF263-3	ZNF263	101156	JAKMIP2	7784	False	other	
ZNF263-3	ZNF263	101156	LNX1	8141	False	other	
ZNF263-3	ZNF263	101156	PPL	56285	False	other	
ZNF263-3	ZNF263	101156	SCAND1	3585	False	cofactor	unknown
ZNF263-3	ZNF263	101156	TRIM41	7881	False	signaling	
ZNF263-1	ZNF263	101302	ZNF165	1549	True	TF	
ZNF263-1	ZNF263	101302	ZNF250	525	True	TF	
ZNF263-1	ZNF263	101302	ZNF446	6131	True	TF	
ZNF263-1	ZNF263	101302	ZSCAN22	53524	True	TF	
ZNF263-3	ZNF263	101156	ZNF165	1549	False	TF	
ZNF263-3	ZNF263	101156	ZNF250	525	False	TF	
ZNF263-3	ZNF263	101156	ZNF446	6131	False	TF	
ZNF263-3	ZNF263	101156	ZSCAN22	53524	False	TF	
ZNF18-1	ZNF18	100491	CCDC6	71245	False	other	
ZNF18-1	ZNF18	100491	CLK2	11851	False	other	
ZNF18-1	ZNF18	100491	CLK3	7447	False	other	
ZNF18-1	ZNF18	100491	CPNE7	8479		other	
ZNF18-1	ZNF18	100491	DVL3	9635	False	cofactor	unknown
ZNF18-1	ZNF18	100491	EFEMP2	2906	False	other	
ZNF18-1	ZNF18	100491	GPATCH2L	13363	False	other	
ZNF18-1	ZNF18	100491	JAKMIP2	7784	False	other	
ZNF18-1	ZNF18	100491	LNX1	8141	False	other	
ZNF18-1	ZNF18	100491	PPL	56285		other	
ZNF18-1	ZNF18	100491	SCAND1	3585	True	cofactor	unknown
ZNF18-1	ZNF18	100491	TRIM41	7881		signaling	
ZNF18-2	ZNF18	100032	CCDC6	71245		other	
ZNF18-2	ZNF18	100032	CLK2	11851	False	other	
ZNF18-2	ZNF18	100032	CLK3	7447	False	other	
ZNF18-2	ZNF18	100032	CPNE7	8479		other	
ZNF18-2	ZNF18	100032	DVL3	9635	False	cofactor	unknown
ZNF18-2	ZNF18	100032	EFEMP2	2906	False	other	
ZNF18-2	ZNF18	100032	GPATCH2L	13363	False	other	
ZNF18-2	ZNF18	100032	JAKMIP2	7784	False	other	
ZNF18-2	ZNF18	100032	LNX1	8141	False	other	
ZNF18-2	ZNF18	100032	PPL	56285	False	other	
ZNF18-2	ZNF18	100032	SCAND1	3585	True	cofactor	unknown
ZNF18-2	ZNF18	100032	TRIM41	7881	False	signaling	
ZNF18-3	ZNF18	100682	CCDC6	71245	False	other	
ZNF18-3	ZNF18	100682	CLK2	11851	False	other	
ZNF18-3	ZNF18	100682	CLK3	7447	False	other	
ZNF18-3	ZNF18	100682	CPNE7	8479		other	
ZNF18-3	ZNF18	100682	DVL3	9635	False	cofactor	unknown
ZNF18-3	ZNF18	100682	EFEMP2	2906	False	other	
ZNF18-3	ZNF18	100682	GPATCH2L	13363	False	other	
ZNF18-3	ZNF18	100682	JAKMIP2	7784	False	other	
ZNF18-3	ZNF18	100682	LNX1	8141	False	other	
ZNF18-3	ZNF18	100682	PPL	56285	False	other	
ZNF18-3	ZNF18	100682	SCAND1	3585	True	cofactor	unknown
ZNF18-3	ZNF18	100682	TRIM41	7881	False	signaling	
GLIS2-1	GLIS2	101184	AQP1	1231	False	signaling	
GLIS2-1	GLIS2	101184	CATSPER1	1769	False	other	
GLIS2-1	GLIS2	101184	GCC1	7306	False	other	
GLIS2-1	GLIS2	101184	HNRNPR	7472		other	
GLIS2-1	GLIS2	101184	HSD3B7	4278	False	other	
GLIS2-1	GLIS2	101184	MAPK9	10051	False	signaling	
GLIS2-1	GLIS2	101184	NME7	5633	False	other	
GLIS2-1	GLIS2	101184	PIN1	4406	False	TF	
GLIS2-1	GLIS2	101184	PITX1	6137	False	TF	
GLIS2-1	GLIS2	101184	PRKAA2	14015	False	signaling	
GLIS2-1	GLIS2	101184	RING1	4435	False	cofactor	unknown
GLIS2-3	GLIS2	100034	AQP1	1231	False	signaling	
GLIS2-3	GLIS2	100034	CATSPER1	1769	False	other	
GLIS2-3	GLIS2	100034	GCC1	7306	False	other	
GLIS2-3	GLIS2	100034	HNRNPR	7472		other	
GLIS2-3	GLIS2	100034	HSD3B7	4278	False	other	
GLIS2-3	GLIS2	100034	MAPK9	10051	False	signaling	
GLIS2-3	GLIS2	100034	NME7	5633	False	other	
GLIS2-3	GLIS2	100034	PIN1	4406	False	TF	
GLIS2-3	GLIS2	100034	PITX1	6137	False	TF	
GLIS2-3	GLIS2	100034	PRKAA2	14015	False	signaling	
GLIS2-3	GLIS2	100034	RING1	4435	False	cofactor	unknown
GLIS2-1	GLIS2	101184	STK36	100009376		cofactor	unknown
GLIS2-1	GLIS2	101184	SUFU	6119	False	cofactor	corepressor
GLIS2-1	GLIS2	101184	VENTX	52853	False	TF	
GLIS2-3	GLIS2	100034	STK36	100009376		cofactor	unknown
GLIS2-3	GLIS2	100034	SUFU	6119	False	cofactor	corepressor
GLIS2-3	GLIS2	100034	VENTX	52853	False	TF	
TP63-1	TP63	100306	AP1M1	206	False	other	
TP63-1	TP63	100306	CHEK2	4020	True	cofactor	unknown
TP63-1	TP63	100306	LMO2	1136	False	cofactor	coactivator
TP63-1	TP63	100306	MCRS1	6901	True	cofactor	unknown
TP63-1	TP63	100306	PELI1	10650	True	cofactor	unknown
TP63-1	TP63	100306	PELI2	6653	True	signaling	
TP63-1	TP63	100306	PIN1	4406	True	TF	
TP63-1	TP63	100306	PRKAA2	14015	True	signaling	
TP63-1	TP63	100306	SDCBP	53842	True	signaling	
TP63-1	TP63	100306	TRIM17	9881	False	other	
TP63-1	TP63	100306	UBASH3A	13969	True	signaling	
TP63-1	TP63	100306	UBXN7	100064026	False	other	
TP63-2	TP63	100044	AP1M1	206	False	other	
TP63-2	TP63	100044	CHEK2	4020	True	cofactor	unknown
TP63-2	TP63	100044	LMO2	1136	False	cofactor	coactivator
TP63-2	TP63	100044	MCRS1	6901	True	cofactor	unknown
TP63-2	TP63	100044	PELI1	10650	True	cofactor	unknown
TP63-2	TP63	100044	PELI2	6653	True	signaling	
TP63-2	TP63	100044	PIN1	4406	True	TF	
TP63-2	TP63	100044	PRKAA2	14015	True	signaling	
TP63-2	TP63	100044	SDCBP	53842	False	signaling	
TP63-2	TP63	100044	TRIM17	9881	False	other	
TP63-2	TP63	100044	UBASH3A	13969	True	signaling	
TP63-2	TP63	100044	UBXN7	100064026	False	other	
TP63-3	TP63	100503	AP1M1	206	True	other	
TP63-3	TP63	100503	CHEK2	4020	True	cofactor	unknown
TP63-3	TP63	100503	LMO2	1136	False	cofactor	coactivator
TP63-3	TP63	100503	MCRS1	6901	True	cofactor	unknown
TP63-3	TP63	100503	PELI1	10650	True	cofactor	unknown
TP63-3	TP63	100503	PELI2	6653	True	signaling	
TP63-3	TP63	100503	PIN1	4406	True	TF	
TP63-3	TP63	100503	PRKAA2	14015	True	signaling	
TP63-3	TP63	100503	SDCBP	53842	True	signaling	
TP63-3	TP63	100503	TRIM17	9881	False	other	
TP63-3	TP63	100503	UBASH3A	13969	True	signaling	
TP63-3	TP63	100503	UBXN7	100064026	True	other	
TP63-1	TP63	100306	ZBTB25	10233	True	TF	
TP63-1	TP63	100306	ZNF417	8400	False	TF	
TP63-1	TP63	100306	ZNF76	9	False	TF	
TP63-2	TP63	100044	ZBTB25	10233	True	TF	
TP63-2	TP63	100044	ZNF417	8400	False	TF	
TP63-2	TP63	100044	ZNF76	9	False	TF	
TP63-3	TP63	100503	ZBTB25	10233	True	TF	
TP63-3	TP63	100503	ZNF417	8400	False	TF	
TP63-3	TP63	100503	ZNF76	9	False	TF	
FOXP2-1	FOXP2	101203	SDCBP	53842	True	signaling	
FOXP2-1	FOXP2	101203	TSACC	1501	True	other	
FOXP2-1	FOXP2	101203	VEZF1	100015985	True	TF	
FOXP2-1	FOXP2	101203	ZFHX3	9406	True	TF	
ZNF250-1	ZNF250	100757	GUCD1	14410	False	other	
ZNF250-1	ZNF250	100757	MAGOHB	6436	False	other	
ZNF250-1	ZNF250	100757	ZNF648	70550	False	TF	
ZNF18-1	ZNF18	100491	ZNF165	1549	False	TF	
ZNF18-1	ZNF18	100491	ZNF250	525	False	TF	
ZNF18-1	ZNF18	100491	ZNF446	6131	True	TF	
ZNF18-1	ZNF18	100491	ZSCAN22	53524	True	TF	
FOXP2-10	FOXP2	100047	SDCBP	53842	False	signaling	
FOXP2-10	FOXP2	100047	TSACC	1501	False	other	
FOXP2-10	FOXP2	100047	VEZF1	100015985	False	TF	
FOXP2-10	FOXP2	100047	ZFHX3	9406	False	TF	
ZNF250-2	ZNF250	101165	GUCD1	14410	False	other	
ZNF250-2	ZNF250	101165	MAGOHB	6436	False	other	
ZNF250-2	ZNF250	101165	ZNF648	70550	False	TF	
ZNF18-2	ZNF18	100032	ZNF165	1549	False	TF	
ZNF18-2	ZNF18	100032	ZNF250	525	False	TF	
ZNF18-2	ZNF18	100032	ZNF446	6131	True	TF	
ZNF18-2	ZNF18	100032	ZSCAN22	53524	False	TF	
FOXP2-2	FOXP2	101202	SDCBP	53842	True	signaling	
FOXP2-2	FOXP2	101202	TSACC	1501	True	other	
FOXP2-2	FOXP2	101202	VEZF1	100015985	True	TF	
FOXP2-2	FOXP2	101202	ZFHX3	9406	False	TF	
ZNF18-3	ZNF18	100682	ZNF165	1549	False	TF	
ZNF18-3	ZNF18	100682	ZNF250	525	False	TF	
ZNF18-3	ZNF18	100682	ZNF446	6131	True	TF	
ZNF18-3	ZNF18	100682	ZSCAN22	53524	False	TF	
FOXP2-4	FOXP2	101422	SDCBP	53842	True	signaling	
FOXP2-4	FOXP2	101422	TSACC	1501	True	other	
FOXP2-4	FOXP2	101422	VEZF1	100015985	False	TF	
FOXP2-4	FOXP2	101422	ZFHX3	9406	False	TF	
FOXP2-6	FOXP2	101200	SDCBP	53842		signaling	
FOXP2-6	FOXP2	101200	TSACC	1501		other	
FOXP2-6	FOXP2	101200	VEZF1	100015985		TF	
FOXP2-6	FOXP2	101200	ZFHX3	9406		TF	
FOXP2-7	FOXP2	100118	SDCBP	53842	False	signaling	
FOXP2-7	FOXP2	100118	TSACC	1501	False	other	
FOXP2-7	FOXP2	100118	VEZF1	100015985	False	TF	
FOXP2-7	FOXP2	100118	ZFHX3	9406	True	TF	
GRHL3-1	GRHL3	100420	SDCBP	53842	False	signaling	
GRHL3-1	GRHL3	100420	TCEA2	6195	False	cofactor	unknown
GRHL3-1	GRHL3	100420	TRAPPC12	6521	False	other	
GRHL3-1	GRHL3	100420	ZCCHC10	12844	False	other	
GRHL3-1	GRHL3	100420	ZNF76	9	False	TF	
NFE2L2-1	NFE2L2	101444	KDM1A	10726		cofactor	coactivator
NFE2L2-1	NFE2L2	101444	MAFF	304		TF	
NFE2L2-1	NFE2L2	101444	MAFG	7214	True	TF	
NFE2L2-1	NFE2L2	101444	MAFK	71051	True	TF	
NFE2L2-1	NFE2L2	101444	TNNT1	6430	True	other	
NFE2L2-1	NFE2L2	101444	WAC	4214	True	cofactor	unknown
GRHL3-2	GRHL3	100519	SDCBP	53842	False	signaling	
GRHL3-2	GRHL3	100519	TCEA2	6195	False	cofactor	unknown
GRHL3-2	GRHL3	100519	TRAPPC12	6521	False	other	
GRHL3-2	GRHL3	100519	ZCCHC10	12844	False	other	
GRHL3-2	GRHL3	100519	ZNF76	9	False	TF	
NFE2L2-2	NFE2L2	100532	KDM1A	10726		cofactor	coactivator
NFE2L2-2	NFE2L2	100532	MAFF	304		TF	
NFE2L2-2	NFE2L2	100532	MAFG	7214	True	TF	
NFE2L2-2	NFE2L2	100532	MAFK	71051	True	TF	
NFE2L2-2	NFE2L2	100532	TNNT1	6430	True	other	
NFE2L2-2	NFE2L2	100532	WAC	4214	True	cofactor	unknown
GRHL3-3	GRHL3	100218	SDCBP	53842	False	signaling	
GRHL3-3	GRHL3	100218	TCEA2	6195	False	cofactor	unknown
GRHL3-3	GRHL3	100218	TRAPPC12	6521	False	other	
GRHL3-3	GRHL3	100218	ZCCHC10	12844	False	other	
GRHL3-3	GRHL3	100218	ZNF76	9	False	TF	
NFE2L2-3	NFE2L2	100391	KDM1A	10726	False	cofactor	coactivator
NFE2L2-3	NFE2L2	100391	MAFF	304		TF	
NFE2L2-3	NFE2L2	100391	MAFG	7214	False	TF	
NFE2L2-3	NFE2L2	100391	MAFK	71051	False	TF	
NFE2L2-3	NFE2L2	100391	TNNT1	6430	False	other	
NFE2L2-3	NFE2L2	100391	WAC	4214	False	cofactor	unknown
GRHL3-4	GRHL3	100270	SDCBP	53842	False	signaling	
GRHL3-4	GRHL3	100270	TCEA2	6195	False	cofactor	unknown
GRHL3-4	GRHL3	100270	TRAPPC12	6521	False	other	
GRHL3-4	GRHL3	100270	ZCCHC10	12844	False	other	
GRHL3-4	GRHL3	100270	ZNF76	9	False	TF	
GRHL3-6	GRHL3	100457	SDCBP	53842	False	signaling	
GRHL3-6	GRHL3	100457	TCEA2	6195	False	cofactor	unknown
GRHL3-6	GRHL3	100457	TRAPPC12	6521	False	other	
GRHL3-6	GRHL3	100457	ZCCHC10	12844	False	other	
GRHL3-6	GRHL3	100457	ZNF76	9	False	TF	
TEAD3-1	TEAD3	100545	TRIM3	70353	True	signaling	
TEAD3-1	TEAD3	100545	VGLL1	100011357	True	cofactor	coactivator
TEAD3-1	TEAD3	100545	VGLL3	71310	True	cofactor	unknown
TEAD3-1	TEAD3	100545	ZMYND19	2656	True	other	
RARB-1	RARB	101407	NR2C1	10314	False	TF	
RARB-1	RARB	101407	RXRB	3425		TF	
RARB-1	RARB	101407	RXRG	7198	True	TF	
GRHL3-7	GRHL3	100033	SDCBP	53842	False	signaling	
GRHL3-7	GRHL3	100033	TCEA2	6195	False	cofactor	unknown
GRHL3-7	GRHL3	100033	TRAPPC12	6521	False	other	
GRHL3-7	GRHL3	100033	ZCCHC10	12844	False	other	
GRHL3-7	GRHL3	100033	ZNF76	9	False	TF	
TEAD3-2	TEAD3	100021	TRIM3	70353	True	signaling	
TEAD3-2	TEAD3	100021	VGLL1	100011357	True	cofactor	coactivator
TEAD3-2	TEAD3	100021	VGLL3	71310	True	cofactor	unknown
TEAD3-2	TEAD3	100021	ZMYND19	2656	True	other	
RARB-2	RARB	100428	NR2C1	10314	False	TF	
RARB-2	RARB	100428	RXRB	3425		TF	
RARB-2	RARB	100428	RXRG	7198	True	TF	
WT1-1	WT1	101468	AES	53886	False	other	
WT1-1	WT1	101468	CIAO1	6755	False	other	
WT1-1	WT1	101468	DVL3	9635		cofactor	unknown
WT1-1	WT1	101468	DYNLT1	100010307		signaling	
WT1-1	WT1	101468	FUBP1	100010379		other	
WT1-1	WT1	101468	HOXA1	10057	False	TF	
WT1-1	WT1	101468	HOXC8	11924	False	TF	
WT1-1	WT1	101468	HOXC9	11938	False	TF	
WT1-1	WT1	101468	NUDT22	5057	True	other	
WT1-1	WT1	101468	OTX1	5285	False	TF	
WT1-1	WT1	101468	PAWR	5638		cofactor	corepressor
WT1-1	WT1	101468	PRR13	7334	True	other	
WT1-2	WT1	101469	AES	53886	False	other	
WT1-2	WT1	101469	CIAO1	6755	False	other	
WT1-2	WT1	101469	DVL3	9635		cofactor	unknown
WT1-2	WT1	101469	DYNLT1	100010307		signaling	
WT1-2	WT1	101469	FUBP1	100010379		other	
WT1-2	WT1	101469	HOXA1	10057	False	TF	
WT1-2	WT1	101469	HOXC8	11924	False	TF	
WT1-2	WT1	101469	HOXC9	11938	False	TF	
WT1-2	WT1	101469	NUDT22	5057	True	other	
WT1-2	WT1	101469	OTX1	5285	False	TF	
