tf	orf1	orf2	seg1_len	seg2_len	len_diff	perc_change	len_frameshift	len_pblock	perc_frameshift	clustal_score1	clustal_score2
KCNIP3	KCNIP3-201	KCNIP3-202	5	5	0	100.0	0	10	0.0	80	19
KCNIP3	KCNIP3-201	KCNIP3-205	60	34	26	56.6666666667	0	94	0.0	8	-33
LIN28B	LIN28B-201	LIN28B-202	3	22	-19	733.333333333	0	25	0.0	33	-3
LIN28B	LIN28B-201	LIN28B-203	3	11	-8	366.666666667	0	14	0.0	33	-6
GATAD2B	GATAD2B-201	GATAD2B-205	593	32	561	5.39629005059	32	593	5.39629005059	12	2
GATAD2B	GATAD2B-201	GATAD2B-211	593	51	542	8.60033726813	45	599	7.51252086811	27	39
ZEB1	ZEB1-201	ZEB1-205	19	2	17	10.5263157895	0	21	0.0	50	-9
ZEB1	ZEB1-201	ZEB1-215	19	2	17	10.5263157895	0	21	0.0	50	-9
ZEB2	ZEB2-225	ZEB2-205	909	2	907	0.2200220022	0	911	0.0	0	-31
ZEB2	ZEB2-225	ZEB2-210	664	34	630	5.12048192771	0	698	0.0	11	10
ZEB2	ZEB2-225	ZEB2-215	1190	34	1156	2.85714285714	0	1224	0.0	26	25
ZEB2	ZEB2-225	ZEB2-217	1190	34	1156	2.85714285714	0	1224	0.0	26	25
ZEB2	ZEB2-225	ZEB2-232	137	125	12	91.2408759124	100	162	61.7283950617	4	-67
ZEB2	ZEB2-225	ZEB2-243	1214	11	1203	0.906095551895	11	1214	0.906095551895	45	5
ZEB2	ZEB2-225	ZEB2-247	192	20	172	10.4166666667	0	212	0.0	20	-3
ZEB2	ZEB2-225	ZEB2-248	192	13	179	6.77083333333	0	205	0.0	15	-27
ZNF292	ZNF292-202	ZNF292-204	2667	10	2657	0.374953130859	0	2677	0.0	30	-5
ZNF292	ZNF292-202	ZNF292-205	2723	5	2718	0.183621006243	5	2723	0.183621006243	40	-7
ZNF292	ZNF292-202	ZNF292-207	2148	66	2082	3.07262569832	66	2148	3.07262569832	16	8
SMAD4	SMAD4-202	SMAD4-216	70	11	59	15.7142857143	0	81	0.0	27	-9
SMAD5	SMAD5-205	SMAD5-204	465	20	445	4.30107526882	20	465	4.30107526882	20	-1
SMAD6	SMAD6-201	SMAD6-203	179	20	159	11.1731843575	0	199	0.0	30	11
SMAD2	SMAD2-201	SMAD2-212	40	34	6	85.0	0	74	0.0	2	-16
SMAD3	SMAD3-201	SMAD3-202	69	25	44	36.231884058	0	94	0.0	12	17
SMAD3	SMAD3-201	SMAD3-210	425	96	329	22.5882352941	45	476	9.45378151261	17	18
SMAD3	SMAD3-201	SMAD3-215	425	70	355	16.4705882353	33	462	7.14285714286	27	37
FOXM1	FOXM1-201	FOXM1-205	801	48	753	5.9925093633	48	801	5.9925093633	12	35
FOXM1	FOXM1-201	FOXM1-210	15	1	14	6.66666666667	0	16	0.0	100	-14
ARX	ARX-201	ARX-205	562	48	514	8.5409252669	20	590	3.38983050847	18	-8
IRX5	IRX5-202	IRX5-204	272	52	220	19.1176470588	0	324	0.0	13	1
IRX5	IRX5-202	IRX5-205	396	7	389	1.76767676768	7	396	1.76767676768	57	-1
NFRKB	NFRKB-201	NFRKB-205	1187	10	1177	0.842459983151	0	1197	0.0	50	0
NFRKB	NFRKB-201	NFRKB-208	1254	1	1253	0.0797448165869	0	1255	0.0	100	-15
NFRKB	NFRKB-201	NFRKB-209	16	14	2	87.5	14	16	87.5	14	-16
OLIG1	OLIG1-201	OLIG1-202	271	31	240	11.4391143911	31	271	11.4391143911	22	16
CXXC1	CXXC1-201	CXXC1-212	131	88	43	67.1755725191	88	131	67.1755725191	6	-31
WTIP	WTIP-202	WTIP-201	430	115	315	26.7441860465	115	430	26.7441860465	17	72
FIZ1	FIZ1-201	FIZ1-203	496	18	478	3.62903225806	18	496	3.62903225806	22	15
FIZ1	FIZ1-201	FIZ1-205	448	20	428	4.46428571429	19	448	4.24107142857	30	22
ZNF780A	ZNF780A-206	ZNF780A-202	539	40	499	7.42115027829	0	579	0.0	7	13
ZNF780B	ZNF780B-202	ZNF780B-206	766	19	747	2.48041775457	19	766	2.48041775457	21	1
PIN1	PIN1-201	PIN1-206	36	18	18	50.0	0	54	0.0	5	-16
NFX1	NFX1-203	NFX1-201	312	25	287	8.01282051282	0	337	0.0	16	-18
EEA1	EEA1-201	EEA1-204	1411	42	1369	2.97661233168	42	1411	2.97661233168	9	7
UBTF	UBTF-209	UBTF-206	90	108	-18	120.0	89	109	81.6513761468	3	-70
PHOX2A	PHOX2A-201	PHOX2A-203	284	5	279	1.76056338028	5	284	1.76056338028	60	1
THAP1	THAP1-201	THAP1-202	189	29	160	15.3439153439	29	189	15.3439153439	6	-12
THAP2	THAP2-201	THAP2-202	204	28	176	13.7254901961	0	232	0.0	21	15
THAP3	THAP3-203	THAP3-201	22	93	-71	422.727272727	0	115	0.0	13	4
THAP3	THAP3-203	THAP3-202	22	93	-71	422.727272727	0	115	0.0	13	4
THAP3	THAP3-203	THAP3-204	175	95	80	54.2857142857	95	175	54.2857142857	6	-1
THAP4	THAP4-204	THAP4-202	413	1	412	0.242130750605	0	414	0.0	100	-14
THAP4	THAP4-204	THAP4-203	413	1	412	0.242130750605	0	414	0.0	100	-14
THAP4	THAP4-204	THAP4-206	87	4	83	4.59770114943	4	87	4.59770114943	50	-12
THAP5	THAP5-203	THAP5-204	345	5	340	1.44927536232	5	345	1.44927536232	40	-12
THAP6	THAP6-201	THAP6-203	126	43	83	34.126984127	0	169	0.0	9	-4
THAP6	THAP6-201	THAP6-205	126	22	104	17.4603174603	0	148	0.0	4	4
THAP6	THAP6-201	THAP6-209	84	22	62	26.1904761905	0	106	0.0	4	4
THAP6	THAP6-201	THAP6-210	126	34	92	26.9841269841	0	160	0.0	11	-20
THAP6	THAP6-201	THAP6-211	84	22	62	26.1904761905	0	106	0.0	4	4
THAP6	THAP6-201	THAP6-212	84	14	70	16.6666666667	0	98	0.0	14	-13
AHCTF1	AHCTF1-201	AHCTF1-202	7	33	-26	471.428571429	0	40	0.0	14	-14
SIX4	SIX4-201	SIX4-203	9	1	8	11.1111111111	0	10	0.0	100	-4
SIX5	SIX5-201	SIX5-202	739	34	705	4.60081190798	34	739	4.60081190798	29	34
SIX5	SIX5-201	SIX5-203	696	26	670	3.73563218391	26	696	3.73563218391	15	1
SIX1	SIX1-201	SIX1-203	187	14	173	7.48663101604	0	201	0.0	42	19
ZNF587B	ZNF587B-203	ZNF587B-201	259	28	231	10.8108108108	0	287	0.0	10	1
RELB	RELB-201	RELB-206	579	96	483	16.5803108808	96	579	16.5803108808	16	20
RELA	RELA-202	RELA-205	207	33	174	15.9420289855	0	240	0.0	18	-6
RELA	RELA-202	RELA-207	551	2	549	0.362976406534	2	551	0.362976406534	100	-9
RELA	RELA-202	RELA-219	409	19	390	4.64547677262	19	409	4.64547677262	31	20
RELA	RELA-202	RELA-227	326	21	305	6.44171779141	21	326	6.44171779141	19	3
ZFP64	ZFP64-203	ZFP64-201	391	427	-36	109.207161125	0	818	0.0	38	308
ZFP64	ZFP64-203	ZFP64-202	391	427	-36	109.207161125	0	818	0.0	38	308
ZFP64	ZFP64-203	ZFP64-204	391	427	-36	109.207161125	0	818	0.0	38	308
ZFP64	ZFP64-203	ZFP64-205	236	6	230	2.54237288136	0	242	0.0	33	-13
ZFP64	ZFP64-203	ZFP64-206	254	35	219	13.7795275591	0	289	0.0	8	-18
ZFP64	ZFP64-203	ZFP64-207	254	57	197	22.4409448819	0	311	0.0	7	-28
ZFP64	ZFP64-203	ZFP64-207	320	3	317	0.9375	0	323	0.0	66	-9
ZFP64	ZFP64-203	ZFP64-208	254	57	197	22.4409448819	0	311	0.0	7	-28
ZFP64	ZFP64-203	ZFP64-209	645	37	608	5.73643410853	37	645	5.73643410853	18	2
HMG20A	HMG20A-201	HMG20A-206	347	16	331	4.61095100865	16	347	4.61095100865	18	-15
HMG20B	HMG20B-202	HMG20B-201	68	85	-17	125.0	68	85	80.0	8	-17
HMG20B	HMG20B-202	HMG20B-216	3	64	-61	2133.33333333	0	67	0.0	33	-13
SHOX2	SHOX2-203	SHOX2-206	216	27	189	12.5	4	239	1.67364016736	14	10
ZFP82	ZFP82-201	ZFP82-202	532	34	498	6.39097744361	14	552	2.53623188406	20	-3
RFX4	RFX4-203	RFX4-201	126	32	94	25.3968253968	0	158	0.0	12	-15
RFX4	RFX4-203	RFX4-202	14	23	-9	164.285714286	0	37	0.0	14	-5
RFX4	RFX4-203	RFX4-209	64	9	55	14.0625	0	73	0.0	11	-10
RFX5	RFX5-201	RFX5-210	295	22	273	7.45762711864	0	317	0.0	18	-14
ZNF843	ZNF843-201	ZNF843-202	121	66	55	54.5454545455	0	187	0.0	10	-2
ZNF844	ZNF844-201	ZNF844-202	623	28	595	4.49438202247	27	624	4.32692307692	25	16
RFX2	RFX2-201	RFX2-211	723	64	659	8.8520055325	64	723	8.8520055325	17	14
RFX3	RFX3-204	RFX3-201	349	13	336	3.72492836676	0	361	0.0	23	-10
RFX3	RFX3-204	RFX3-202	93	51	42	54.8387096774	0	144	0.0	9	-10
RFX3	RFX3-204	RFX3-203	678	14	664	2.06489675516	0	691	0.0	21	-11
RFX3	RFX3-204	RFX3-205	591	37	554	6.26057529611	0	628	0.0	18	23
RFX3	RFX3-204	RFX3-206	591	16	575	2.70727580372	0	607	0.0	18	-4
RFX3	RFX3-204	RFX3-208	93	3	90	3.22580645161	0	96	0.0	33	-15
RFX3	RFX3-204	RFX3-209	566	1	565	0.17667844523	0	567	0.0	100	-10
ELK1	ELK1-201	ELK1-202	338	5	333	1.47928994083	5	338	1.47928994083	40	-3
ELK4	ELK4-202	ELK4-201	71	45	26	63.3802816901	0	116	0.0	13	-2
DBP	DBP-201	DBP-205	71	8	63	11.2676056338	0	79	0.0	12	-3
FOXP2	FOXP2-201	FOXP2-202	293	10	283	3.41296928328	0	303	0.0	20	-1
FOXP2	FOXP2-201	FOXP2-204	293	10	283	3.41296928328	0	303	0.0	20	-1
FOXP2	FOXP2-201	FOXP2-217	659	11	648	1.66919575114	0	670	0.0	18	-8
FOXP2	FOXP2-201	FOXP2-224	20	17	3	85.0	0	37	0.0	17	4
FOXP2	FOXP2-201	FOXP2-225	715	107	608	14.965034965	107	715	14.965034965	14	92
FOXP2	FOXP2-201	FOXP2-227	6	4	2	66.6666666667	0	10	0.0	25	-13
FOXP3	FOXP3-203	FOXP3-201	20	5	15	25.0	0	25	0.0	20	-1
FOXP1	FOXP1-202	FOXP1-201	617	54	563	8.75202593193	0	671	0.0	24	30
FOXP1	FOXP1-202	FOXP1-208	677	56	621	8.2717872969	56	677	8.2717872969	12	32
FOXP1	FOXP1-202	FOXP1-212	60	62	-2	103.333333333	0	122	0.0	1	-27
FOXP1	FOXP1-202	FOXP1-215	677	52	625	7.68094534712	20	709	2.82087447109	5	15
FOXP1	FOXP1-202	FOXP1-239	41	57	-16	139.024390244	0	98	0.0	51	138
FOXP1	FOXP1-202	FOXP1-244	60	62	-2	103.333333333	0	122	0.0	1	-27
FOXP1	FOXP1-202	FOXP1-265	60	62	-2	103.333333333	0	122	0.0	1	-27
ADNP	ADNP-201	ADNP-206	1102	30	1072	2.722323049	2	1130	0.176991150442	10	18
ADNP	ADNP-201	ADNP-207	1035	44	991	4.25120772947	0	1079	0.0	18	-6
FOXP4	FOXP4-204	FOXP4-206	68	39	29	57.3529411765	0	107	0.0	10	-10
ZNF57	ZNF57-201	ZNF57-205	8	8	0	100.0	0	15	0.0	12	-12
ZNF57	ZNF57-201	ZNF57-205	15	17	-2	113.333333333	0	31	0.0	6	-10
ZNF593	ZNF593-202	ZNF593-201	46	68	-22	147.826086957	37	77	48.0519480519	6	-29
ZNF596	ZNF596-201	ZNF596-213	365	30	335	8.21917808219	0	395	0.0	13	-6
ZNF595	ZNF595-205	ZNF595-202	573	10	563	1.74520069808	0	583	0.0	20	-8
ZNF599	ZNF599-201	ZNF599-202	508	15	493	2.95275590551	0	523	0.0	20	1
ZNF599	ZNF599-201	ZNF599-203	508	2	506	0.393700787402	0	510	0.0	50	-8
MNX1	MNX1-201	MNX1-202	401	29	372	7.2319201995	11	419	2.62529832936	20	2
MNX1	MNX1-201	MNX1-203	231	19	212	8.22510822511	0	249	0.0	42	29
MNX1	MNX1-201	MNX1-204	401	36	365	8.97755610973	0	437	0.0	22	34
MNX1	MNX1-201	MNX1-206	401	6	395	1.49625935162	6	401	1.49625935162	50	1
MNX1	MNX1-201	MNX1-207	231	19	212	8.22510822511	0	249	0.0	42	29
MYCN	MYCN-201	MYCN-202	263	52	211	19.7718631179	0	315	0.0	23	18
MYCL	MYCL-202	MYCL-201	199	41	158	20.6030150754	0	240	0.0	17	-11
ZNF606	ZNF606-201	ZNF606-202	763	59	704	7.73263433814	0	822	0.0	18	3
ZNF606	ZNF606-201	ZNF606-203	733	10	723	1.36425648022	0	743	0.0	20	-4
ZNF606	ZNF606-201	ZNF606-208	763	37	726	4.84927916121	0	800	0.0	27	23
ZNF608	ZNF608-201	ZNF608-210	1095	30	1065	2.7397260274	30	1095	2.7397260274	10	-12
ZNF609	ZNF609-201	ZNF609-202	1162	82	1080	7.05679862306	0	1244	0.0	19	8
CAMTA2	CAMTA2-201	CAMTA2-203	10	12	-2	120.0	0	22	0.0	20	-6
CAMTA2	CAMTA2-201	CAMTA2-204	45	61	-16	135.555555556	44	62	70.9677419355	11	-39
CAMTA2	CAMTA2-201	CAMTA2-211	1089	68	1021	6.24426078972	68	1089	6.24426078972	26	53
VEZF1	VEZF1-202	VEZF1-201	521	29	492	5.56621880998	29	521	5.56621880998	17	14
VEZF1	VEZF1-202	VEZF1-204	11	2	9	18.1818181818	0	13	0.0	50	-9
CAMTA1	CAMTA1-201	CAMTA1-205	23	35	-12	152.173913043	0	58	0.0	8	-20
CAMTA1	CAMTA1-201	CAMTA1-205	1595	2	1593	0.12539184953	0	1597	0.0	100	-9
CAMTA1	CAMTA1-201	CAMTA1-208	1595	2	1593	0.12539184953	0	1597	0.0	100	-9
CAMTA1	CAMTA1-201	CAMTA1-210	21	21	0	100.0	10	31	32.2580645161	9	-6
CAMTA1	CAMTA1-201	CAMTA1-214	1673	16	1657	0.956365809922	16	1673	0.956365809922	25	-5
CAMTA1	CAMTA1-201	CAMTA1-215	1673	1	1672	0.0597728631201	1	1673	0.0597728631201	100	-13
CAMTA1	CAMTA1-201	CAMTA1-216	1595	23	1572	1.44200626959	0	1618	0.0	13	10
TCF4	TCF4-202	TCF4-204	183	23	160	12.5683060109	0	206	0.0	13	1
TCF4	TCF4-202	TCF4-208	49	7	42	14.2857142857	0	55	0.0	28	0
TCF4	TCF4-202	TCF4-209	102	32	70	31.3725490196	0	133	0.0	9	-8
TCF4	TCF4-202	TCF4-210	183	23	160	12.5683060109	0	206	0.0	8	-33
TCF4	TCF4-202	TCF4-222	102	32	70	31.3725490196	0	133	0.0	9	-8
TCF4	TCF4-202	TCF4-232	24	22	2	91.6666666667	0	46	0.0	4	-10
TCF4	TCF4-202	TCF4-234	24	11	13	45.8333333333	0	35	0.0	27	-18
TCF4	TCF4-202	TCF4-237	24	12	12	50.0	0	36	0.0	8	-5
TCF4	TCF4-202	TCF4-238	24	28	-4	116.666666667	0	52	0.0	12	-5
TCF4	TCF4-202	TCF4-244	667	17	650	2.54872563718	17	667	2.54872563718	29	13
TCF4	TCF4-202	TCF4-246	183	23	160	12.5683060109	0	206	0.0	13	1
TCF4	TCF4-202	TCF4-247	123	5	118	4.06504065041	0	128	0.0	40	-9
TCF4	TCF4-202	TCF4-272	183	23	160	12.5683060109	0	206	0.0	13	1
TCF4	TCF4-202	TCF4-273	102	32	70	31.3725490196	0	133	0.0	9	-8
TCF4	TCF4-202	TCF4-275	51	15	36	29.4117647059	0	66	0.0	26	-19
TCF7	TCF7-201	TCF7-202	26	25	1	96.1538461538	0	51	0.0	12	-34
TCF7	TCF7-201	TCF7-204	26	123	-97	473.076923077	25	124	20.1612903226	15	10
TCF7	TCF7-201	TCF7-207	26	11	15	42.3076923077	0	37	0.0	9	-11
TCF7	TCF7-201	TCF7-209	384	81	303	21.09375	81	384	21.09375	12	12
TCF7	TCF7-201	TCF7-211	26	26	0	100.0	0	52	0.0	3	-27
TCF7	TCF7-201	TCF7-212	147	7	140	4.7619047619	0	154	0.0	28	-21
TCF7	TCF7-201	TCF7-217	384	4	380	1.04166666667	4	384	1.04166666667	50	-5
TCF3	TCF3-201	TCF3-202	78	75	3	96.1538461538	0	153	0.0	72	316
TCF3	TCF3-201	TCF3-204	78	74	4	94.8717948718	0	152	0.0	72	316
TCF3	TCF3-201	TCF3-205	78	74	4	94.8717948718	0	152	0.0	72	316
TCF3	TCF3-201	TCF3-212	78	75	3	96.1538461538	0	153	0.0	72	316
TCF3	TCF3-201	TCF3-213	654	28	626	4.28134556575	28	654	4.28134556575	25	5
TCF3	TCF3-201	TCF3-215	654	53	601	8.10397553517	53	654	8.10397553517	11	39
TCF3	TCF3-201	TCF3-218	654	34	620	5.19877675841	34	654	5.19877675841	17	12
ARID2	ARID2-201	ARID2-206	47	5	42	10.6382978723	0	52	0.0	40	-15
ARID2	ARID2-201	ARID2-207	1835	5	1830	0.272479564033	5	1835	0.272479564033	40	-10
ZNF776	ZNF776-201	ZNF776-202	465	5	460	1.0752688172	0	470	0.0	20	-14
ZNF776	ZNF776-201	ZNF776-203	518	3	515	0.579150579151	3	518	0.579150579151	33	-8
SCMH1	SCMH1-207	SCMH1-201	2	49	-47	2450.0	0	51	0.0	50	-14
SCMH1	SCMH1-207	SCMH1-202	2	59	-57	2950.0	0	61	0.0	100	2
MEF2C	MEF2C-202	MEF2C-203	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2C	MEF2C-202	MEF2C-204	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2C	MEF2C-202	MEF2C-205	377	43	334	11.4058355438	0	420	0.0	48	123
MEF2C	MEF2C-202	MEF2C-206	377	1	376	0.26525198939	0	378	0.0	0	-33
MEF2C	MEF2C-202	MEF2C-207	132	8	124	6.06060606061	0	140	0.0	25	-5
MEF2C	MEF2C-202	MEF2C-210	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2C	MEF2C-202	MEF2C-210	106	32	74	30.1886792453	32	106	30.1886792453	18	8
MEF2C	MEF2C-202	MEF2C-213	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2C	MEF2C-202	MEF2C-214	377	40	337	10.6100795756	0	417	0.0	47	113
MEF2C	MEF2C-202	MEF2C-217	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2C	MEF2C-202	MEF2C-221	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2C	MEF2C-202	MEF2C-228	106	21	85	19.8113207547	21	106	19.8113207547	9	-14
MEF2C	MEF2C-202	MEF2C-230	106	21	85	19.8113207547	21	106	19.8113207547	9	-14
MEF2C	MEF2C-202	MEF2C-236	463	23	440	4.96760259179	17	469	3.62473347548	21	-26
MEF2C	MEF2C-202	MEF2C-243	377	37	340	9.81432360743	0	414	0.0	48	109
MEF2C	MEF2C-202	MEF2C-249	46	48	-2	104.347826087	0	94	0.0	45	139
MEF2B	MEF2B-204	MEF2B-202	114	32	82	28.0701754386	31	115	26.9565217391	21	42
MEF2A	MEF2A-202	MEF2A-203	114	44	70	38.5964912281	0	158	0.0	34	83
MEF2A	MEF2A-202	MEF2A-204	46	44	2	95.652173913	0	90	0.0	34	93
MEF2A	MEF2A-202	MEF2A-205	46	44	2	95.652173913	0	90	0.0	34	93
MEF2A	MEF2A-202	MEF2A-207	114	44	70	38.5964912281	0	158	0.0	34	83
CREM	CREM-204	CREM-201	48	47	1	97.9166666667	0	95	0.0	72	206
CREM	CREM-204	CREM-202	56	1	55	1.78571428571	0	57	0.0	100	-14
CREM	CREM-204	CREM-203	48	47	1	97.9166666667	0	95	0.0	72	206
