ref_orf	alt_orf	pfam	ref_len	alt_pfam	alt_len	len_diff	alt_is_longer
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2_4	24	ZNF701-201|dom-zf-C2H2_4	24	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	26	ZNF701-201|dom-zf-H2C2_2	26	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-KRAB	41	ZNF701-201|dom-KRAB	41	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-C2H2	23	ZNF701-201|dom-zf-C2H2	23	0	False
ZNF701-202	ZNF701-201	ZNF701-202|dom-zf-H2C2_2	21	ZNF701-201|dom-zf-H2C2_2	21	0	False
ZNF701-202	ZNF701-205	ZNF701-202|dom-KRAB	41	ZNF701-205|dom-KRAB	41	0	False
ZNF701-202	ZNF701-206	ZNF701-202|dom-KRAB	41	ZNF701-206|dom-KRAB	41	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_11	25	ZNF700-202|dom-zf-C2H2_11	25	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-202|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	20	ZNF700-202|dom-zf-H2C2_2	20	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	24	ZNF700-202|dom-zf-H2C2_2	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	23	ZNF700-202|dom-zf-H2C2_2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-202|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-202|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-met	24	ZNF700-202|dom-zf-met	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_jaz	24	ZNF700-202|dom-zf-C2H2_jaz	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-met	24	ZNF700-202|dom-zf-met	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_jaz	24	ZNF700-202|dom-zf-C2H2_jaz	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_jaz	24	ZNF700-202|dom-zf-C2H2_jaz	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_4	24	ZNF700-202|dom-zf-C2H2_4	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-KRAB	41	ZNF700-202|dom-KRAB	41	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_4	24	ZNF700-202|dom-zf-C2H2_4	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_4	24	ZNF700-202|dom-zf-C2H2_4	24	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-202|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	25	ZNF700-202|dom-zf-C2H2	25	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-202|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-202|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	36	ZNF700-202|dom-zf-H2C2_2	26	10	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-202|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	36	-10	True
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2	23	ZNF700-202|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-202|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-202	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-202|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_11	25	ZNF700-203|dom-zf-C2H2_11	25	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-203|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	20	ZNF700-203|dom-zf-H2C2_2	20	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	24	ZNF700-203|dom-zf-H2C2_2	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	23	ZNF700-203|dom-zf-H2C2_2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-203|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-203|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-met	24	ZNF700-203|dom-zf-met	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_jaz	24	ZNF700-203|dom-zf-C2H2_jaz	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-met	24	ZNF700-203|dom-zf-met	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_jaz	24	ZNF700-203|dom-zf-C2H2_jaz	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_jaz	24	ZNF700-203|dom-zf-C2H2_jaz	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_4	24	ZNF700-203|dom-zf-C2H2_4	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-KRAB	41	ZNF700-203|dom-KRAB	41	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_4	24	ZNF700-203|dom-zf-C2H2_4	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_4	24	ZNF700-203|dom-zf-C2H2_4	24	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-203|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	25	ZNF700-203|dom-zf-C2H2	25	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-203|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	25	ZNF700-203|dom-zf-H2C2_2	25	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	36	ZNF700-203|dom-zf-H2C2_2	26	10	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-203|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2	23	ZNF700-203|dom-zf-C2H2	23	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-C2H2_6	27	ZNF700-203|dom-zf-C2H2_6	27	0	False
ZNF700-201	ZNF700-203	ZNF700-201|dom-zf-H2C2_2	26	ZNF700-203|dom-zf-H2C2_2	26	0	False
ZNF707-222	ZNF707-203	ZNF707-222|dom-KRAB	41	ZNF707-203|dom-KRAB	41	0	False
ZNF707-222	ZNF707-210	ZNF707-222|dom-KRAB	41	ZNF707-210|dom-KRAB	40	1	False
ZNF707-222	ZNF707-215	ZNF707-222|dom-KRAB	41	ZNF707-215|dom-KRAB	41	0	False
ZNF707-222	ZNF707-217	ZNF707-222|dom-KRAB	41	ZNF707-217|dom-KRAB	40	1	False
ZNF707-222	ZNF707-228	ZNF707-222|dom-KRAB	41	ZNF707-228|dom-KRAB	41	0	False
ZNF706-201	ZNF706-206	ZNF706-201|dom-4F5	38	ZNF706-206|dom-4F5	38	0	False
ZNF706-201	ZNF706-215	ZNF706-201|dom-4F5	38	ZNF706-215|dom-4F5	38	0	False
DRAP1-201	DRAP1-202	DRAP1-201|dom-CBFD_NFYB_HMF	65	DRAP1-202|dom-CBFD_NFYB_HMF	65	0	False
DRAP1-201	DRAP1-202	DRAP1-201|dom-Histone	76	DRAP1-202|dom-Histone	76	0	False
DRAP1-201	DRAP1-204	DRAP1-201|dom-CBFD_NFYB_HMF	65	DRAP1-204|dom-CBFD_NFYB_HMF	52	13	False
DRAP1-201	DRAP1-204	DRAP1-201|dom-Histone	76	DRAP1-204|dom-Histone	55	21	False
DRAP1-201	DRAP1-205	DRAP1-201|dom-FXMRP1_C_core	97	DRAP1-205|dom-FXMRP1_C_core	90	7	False
DRAP1-201	DRAP1-208	DRAP1-201|dom-FXMRP1_C_core	97	DRAP1-208|dom-FXMRP1_C_core	114	-17	True
DRAP1-201	DRAP1-208	DRAP1-201|dom-CBFD_NFYB_HMF	65	DRAP1-208|dom-CBFD_NFYB_HMF	54	11	False
KDM2A-210	KDM2A-201	KDM2A-210|dom-JmjC	101	KDM2A-201|dom-JmjC	101	0	False
KDM2A-210	KDM2A-201	KDM2A-210|dom-F-box-like	42	KDM2A-201|dom-F-box-like	42	0	False
KDM2A-210	KDM2A-201	KDM2A-210|dom-zf-CXXC	47	KDM2A-201|dom-zf-CXXC	47	0	False
KDM2A-210	KDM2A-201	KDM2A-210|dom-F-box	47	KDM2A-201|dom-F-box	47	0	False
KDM2A-210	KDM2A-201	KDM2A-210|dom-PHD_4	63	KDM2A-201|dom-PHD_4	63	0	False
KDM2A-210	KDM2A-202	KDM2A-210|dom-JmjC	101	KDM2A-202|dom-JmjC	101	0	False
KDM2A-210	KDM2A-202	KDM2A-210|dom-zf-CXXC	47	KDM2A-202|dom-zf-CXXC	47	0	False
KDM2A-210	KDM2A-202	KDM2A-210|dom-PHD_4	63	KDM2A-202|dom-PHD_4	63	0	False
KDM2A-210	KDM2A-212	KDM2A-210|dom-F-box-like	42	KDM2A-212|dom-F-box-like	42	0	False
KDM2A-210	KDM2A-212	KDM2A-210|dom-zf-CXXC	47	KDM2A-212|dom-zf-CXXC	47	0	False
KDM2A-210	KDM2A-212	KDM2A-210|dom-F-box	47	KDM2A-212|dom-F-box	47	0	False
KDM2A-210	KDM2A-212	KDM2A-210|dom-PHD_4	63	KDM2A-212|dom-PHD_4	63	0	False
IRX4-201	IRX4-205	IRX4-201|dom-Homeobox_KN	40	IRX4-205|dom-Homeobox_KN	31	9	False
IRX4-201	IRX4-207	IRX4-201|dom-Homeodomain	59	IRX4-207|dom-Homeodomain	59	0	False
IRX4-201	IRX4-207	IRX4-201|dom-Homeobox_KN	40	IRX4-207|dom-Homeobox_KN	40	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-zf-CXXC	47	KDM2B-201|dom-zf-CXXC	47	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-PHD	65	KDM2B-201|dom-PHD	65	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-F-box	58	KDM2B-201|dom-F-box	58	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-F-box-like	42	KDM2B-201|dom-F-box-like	42	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-JmjC	101	KDM2B-201|dom-JmjC	101	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-PHD_4	68	KDM2B-201|dom-PHD_4	68	0	False
KDM2B-202	KDM2B-201	KDM2B-202|dom-Cupin_8	317	KDM2B-201|dom-Cupin_8	223	94	False
KDM2B-202	KDM2B-203	KDM2B-202|dom-JmjC	101	KDM2B-203|dom-JmjC	101	0	False
KDM2B-202	KDM2B-203	KDM2B-202|dom-Cupin_8	317	KDM2B-203|dom-Cupin_8	226	91	False
KDM2B-202	KDM2B-205	KDM2B-202|dom-zf-CXXC	47	KDM2B-205|dom-zf-CXXC	47	0	False
KDM2B-202	KDM2B-205	KDM2B-202|dom-JmjC	101	KDM2B-205|dom-JmjC	101	0	False
KDM2B-202	KDM2B-205	KDM2B-202|dom-PHD_4	68	KDM2B-205|dom-PHD_4	50	18	False
KDM2B-202	KDM2B-205	KDM2B-202|dom-Cupin_8	317	KDM2B-205|dom-Cupin_8	317	0	False
KDM2B-202	KDM2B-208	KDM2B-202|dom-JmjC	101	KDM2B-208|dom-JmjC	98	3	False
KDM2B-202	KDM2B-208	KDM2B-202|dom-Cupin_8	317	KDM2B-208|dom-Cupin_8	108	209	False
KDM2B-202	KDM2B-210	KDM2B-202|dom-JmjC	101	KDM2B-210|dom-JmjC	61	40	False
KDM2B-202	KDM2B-210	KDM2B-202|dom-Cupin_8	317	KDM2B-210|dom-Cupin_8	156	161	False
KDM2B-202	KDM2B-213	KDM2B-202|dom-JmjC	101	KDM2B-213|dom-JmjC	97	4	False
KDM2B-202	KDM2B-213	KDM2B-202|dom-Cupin_8	317	KDM2B-213|dom-Cupin_8	93	224	False
KDM2B-202	KDM2B-215	KDM2B-202|dom-zf-CXXC	47	KDM2B-215|dom-zf-CXXC	19	28	False
KDM2B-202	KDM2B-215	KDM2B-202|dom-PHD	65	KDM2B-215|dom-PHD	65	0	False
KDM2B-202	KDM2B-215	KDM2B-202|dom-F-box	58	KDM2B-215|dom-F-box	58	0	False
KDM2B-202	KDM2B-215	KDM2B-202|dom-F-box-like	42	KDM2B-215|dom-F-box-like	42	0	False
KDM2B-202	KDM2B-215	KDM2B-202|dom-PHD_4	68	KDM2B-215|dom-PHD_4	68	0	False
KDM2B-202	KDM2B-217	KDM2B-202|dom-JmjC	101	KDM2B-217|dom-JmjC	98	3	False
KDM2B-202	KDM2B-217	KDM2B-202|dom-Cupin_8	317	KDM2B-217|dom-Cupin_8	108	209	False
KDM2B-202	KDM2B-218	KDM2B-202|dom-JmjC	101	KDM2B-218|dom-JmjC	98	3	False
KDM2B-202	KDM2B-218	KDM2B-202|dom-Cupin_8	317	KDM2B-218|dom-Cupin_8	109	208	False
KDM2B-202	KDM2B-219	KDM2B-202|dom-zf-CXXC	47	KDM2B-219|dom-zf-CXXC	47	0	False
KDM2B-202	KDM2B-219	KDM2B-202|dom-JmjC	101	KDM2B-219|dom-JmjC	101	0	False
KDM2B-202	KDM2B-219	KDM2B-202|dom-Cupin_8	317	KDM2B-219|dom-Cupin_8	201	116	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	25	ZNF44-203|dom-zf-H2C2_2	25	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	25	ZNF44-203|dom-zf-H2C2_2	25	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	25	ZNF44-203|dom-zf-H2C2_2	25	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	25	ZNF44-203|dom-zf-H2C2_2	25	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	29	ZNF44-203|dom-zf-H2C2_2	29	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_jaz	24	ZNF44-203|dom-zf-C2H2_jaz	24	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_4	24	ZNF44-203|dom-zf-C2H2_4	24	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_jaz	24	ZNF44-203|dom-zf-C2H2_jaz	24	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2	23	ZNF44-203|dom-zf-C2H2	23	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_11	26	ZNF44-203|dom-zf-C2H2_11	26	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_6	27	ZNF44-203|dom-zf-C2H2_6	27	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	25	ZNF44-203|dom-zf-H2C2_2	25	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2	23	ZNF44-203|dom-zf-C2H2	23	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_jaz	22	ZNF44-203|dom-zf-C2H2_jaz	22	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	24	ZNF44-203|dom-zf-H2C2_2	24	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2	22	ZNF44-203|dom-zf-C2H2	22	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_4	24	ZNF44-203|dom-zf-C2H2_4	24	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_4	24	ZNF44-203|dom-zf-C2H2_4	24	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2_11	22	ZNF44-203|dom-zf-C2H2_11	22	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2	23	ZNF44-203|dom-zf-C2H2	23	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-H2C2_2	25	ZNF44-203|dom-zf-H2C2_2	25	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2	23	ZNF44-203|dom-zf-C2H2	23	0	False
ZNF44-202	ZNF44-203	ZNF44-202|dom-zf-C2H2	23	ZNF44-203|dom-zf-C2H2	23	0	False
